fixture_id,name,label,fixture_type,mode,patch,universe,address,source_file,metadata
31,NP300cR 1,NP300cR 1,8 FP1 Titan Tube RGBS 1 Pixel - Strobe On,8,5.487,5,487,exports\patch666_patch.xml,"{""index"": ""13"", ""name"": ""NP300cR 1"", ""fixtureid"": ""31"", ""fixturetype.name"": ""8 FP1 Titan Tube RGBS 1 Pixel - Strobe On"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
32,NP300cR 2,NP300cR 2,8 FP1 Titan Tube RGBS 1 Pixel - Strobe On,8,5.491,5,491,exports\patch666_patch.xml,"{""index"": ""14"", ""name"": ""NP300cR 2"", ""fixtureid"": ""32"", ""fixturetype.name"": ""8 FP1 Titan Tube RGBS 1 Pixel - Strobe On"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
41,RPointe1 1,RPointe1 1,10 Robin Pointe Mode 1,10,6.106,6,106,exports\patch666_patch.xml,"{""index"": ""23"", ""name"": ""RPointe1 1"", ""fixtureid"": ""41"", ""fixturetype.name"": ""10 Robin Pointe Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
42,RPointe1 2,RPointe1 2,10 Robin Pointe Mode 1,10,6.130,6,130,exports\patch666_patch.xml,"{""index"": ""24"", ""name"": ""RPointe1 2"", ""fixtureid"": ""42"", ""fixturetype.name"": ""10 Robin Pointe Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
43,RPointe1 3,RPointe1 3,10 Robin Pointe Mode 1,10,6.154,6,154,exports\patch666_patch.xml,"{""index"": ""25"", ""name"": ""RPointe1 3"", ""fixtureid"": ""43"", ""fixturetype.name"": ""10 Robin Pointe Mode 1"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
51,LUMI 1,LUMI 1,11 Lumipix 16H 8 channel,11,7.001,7,1,exports\patch666_patch.xml,"{""index"": ""26"", ""name"": ""LUMI 1"", ""fixtureid"": ""51"", ""fixturetype.name"": ""11 Lumipix 16H 8 channel"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
52,LUMI 2,LUMI 2,11 Lumipix 16H 8 channel,11,7.009,7,9,exports\patch666_patch.xml,"{""index"": ""27"", ""name"": ""LUMI 2"", ""fixtureid"": ""52"", ""fixturetype.name"": ""11 Lumipix 16H 8 channel"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
53,LUMI 3,LUMI 3,11 Lumipix 16H 8 channel,11,7.017,7,17,exports\patch666_patch.xml,"{""index"": ""28"", ""name"": ""LUMI 3"", ""fixtureid"": ""53"", ""fixturetype.name"": ""11 Lumipix 16H 8 channel"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
222,R3LEDWm2 1,R3LEDWm2 1,9 Robin 300 LEDWash Mode 2,9,6.001,6,1,exports\patch666_patch.xml,"{""index"": ""8"", ""name"": ""R3LEDWm2 1"", ""fixtureid"": ""222"", ""fixturetype.name"": ""9 Robin 300 LEDWash Mode 2"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
666,Unique21 1,Unique21 1,5 Unique 2.1 00,5,7.510,7,510,exports\patch666_patch.xml,"{""index"": ""19"", ""name"": ""Unique21 1"", ""fixtureid"": ""666"", ""fixturetype.name"": ""5 Unique 2.1 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
667,Unique21 2,Unique21 2,5 Unique 2.1 00,5,,,0,exports\patch666_patch.xml,"{""index"": ""20"", ""name"": ""Unique21 2"", ""fixtureid"": ""667"", ""fixturetype.name"": ""5 Unique 2.1 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
668,Tezka,Tezka,2 Dimmer 00,2,7.501,7,501,exports\patch666_patch.xml,"{""index"": ""21"", ""name"": ""Tezka"", ""fixtureid"": ""668"", ""channelid"": ""668"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
