owner_type,owner_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,value_type,fixture_id,reference_target,flags,source_path
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,SHUTTER,18.897638,hard,1,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,,,,text,18.897638,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 2,6 SPIIDER 33CH Mode 3,,DIM,0,hard,2,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 2,6 SPIIDER 33CH Mode 3,,PAN,0.0041199359,hard,2,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 2,6 SPIIDER 33CH Mode 3,,TILT,0.002059968,hard,2,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 2,6 SPIIDER 33CH Mode 3,,POSITIONMSPEED,0,hard,2,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 2,6 SPIIDER 33CH Mode 3,,COLORMIXER,0,hard,2,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 2,6 SPIIDER 33CH Mode 3,,COLORRGB1,100,hard,2,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 2,6 SPIIDER 33CH Mode 3,,COLORRGB2,100,hard,2,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 2,6 SPIIDER 33CH Mode 3,,COLORRGB3,100,hard,2,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 2,6 SPIIDER 33CH Mode 3,,COLORRGB5,100,hard,2,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 2,6 SPIIDER 33CH Mode 3,,ZOOM,49.999237,hard,2,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 2,6 SPIIDER 33CH Mode 3,,SHUTTER,18.897638,hard,2,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,DIM,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,SPLITFADE,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,OFFSETSHAPE,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,BACKGROUNDSEL,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,DIMMSHAPE,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,DIMMERBG,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,FOREGROUNDSTROBE,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,BACKGROUNDSTROBE,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,PAN,0.0041199359,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,TILT,0.002059968,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,POSITIONMSPEED,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,LAMPCONTROL,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,COLORMIXER,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,COLORRGB1,100,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,COLORRGB2,100,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,COLORRGB3,100,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,COLORRGB5,100,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,CTC,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,COLORMIXMODE,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,SHAPESEL,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,SHAPESPEED,0,hard,3,,[],Cue/CueDatas/CueData
cue,cue:0:0:patch666_main_sequences.xml:1,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,SHAPEFADE,0,hard,3,,[],Cue/CueDatas/CueData
