category,subject,risk_score,details
fixture,Fixture 103 RSpiide3 3,2,fixture receives both hard values and preset-driven control
fixture,Fixture 104 RSpiide3 4,2,fixture receives both hard values and preset-driven control
fixture,Fixture 105 RSpiide3 5,2,fixture receives both hard values and preset-driven control
fixture,Fixture 106 RSpiide3 6,2,fixture receives both hard values and preset-driven control
fixture,Fixture 107 RSpiide3 7,2,fixture receives both hard values and preset-driven control
fixture,Fixture 108 RSpiide3 8,2,fixture receives both hard values and preset-driven control
fixture,Fixture 11 HelDGB8S 11,2,fixture receives both hard values and preset-driven control
fixture,Fixture 12 HelDGB8S 12,2,fixture receives both hard values and preset-driven control
fixture,Fixture 13 HelDGB8S 13,2,fixture receives both hard values and preset-driven control
fixture,Fixture 14 HelDGB8S 14,2,fixture receives both hard values and preset-driven control
fixture,Fixture 15 HelDGB8S 15,2,fixture receives both hard values and preset-driven control
fixture,Fixture 16 HelDGB8S 16,2,fixture receives both hard values and preset-driven control
fixture,Fixture 17 HelDGB8S 17,2,fixture receives both hard values and preset-driven control
fixture,Fixture 18 HelDGB8S 18,2,fixture receives both hard values and preset-driven control
fixture,Fixture 19 HelDGB8S 19,2,fixture receives both hard values and preset-driven control
fixture,Fixture 2 HelDGB8S 2,2,fixture receives both hard values and preset-driven control
fixture,Fixture 20 HelDGB8S 20,2,fixture receives both hard values and preset-driven control
fixture,Fixture 201 SPIDER 33 1,2,fixture receives both hard values and preset-driven control
fixture,Fixture 202 SPIDER 33 2,2,fixture receives both hard values and preset-driven control
fixture,Fixture 21 HelDGB8S 21,2,fixture receives both hard values and preset-driven control
fixture,Fixture 22 HelDGB8S 22,2,fixture receives both hard values and preset-driven control
fixture,Fixture 23 HelDGB8S 23,2,fixture receives both hard values and preset-driven control
fixture,Fixture 24 HelDGB8S 24,2,fixture receives both hard values and preset-driven control
fixture,Fixture 25 HelDGB8S 25,2,fixture receives both hard values and preset-driven control
fixture,Fixture 26 HelDGB8S 26,2,fixture receives both hard values and preset-driven control
fixture,Fixture 27 HelDGB8S 27,2,fixture receives both hard values and preset-driven control
fixture,Fixture 28 HelDGB8S 28,2,fixture receives both hard values and preset-driven control
fixture,Fixture 29 HelDGB8S 29,2,fixture receives both hard values and preset-driven control
fixture,Fixture 3 HelDGB8S 3,2,fixture receives both hard values and preset-driven control
fixture,Fixture 30 HelDGB8S 30,2,fixture receives both hard values and preset-driven control
fixture,Fixture 31 HelDGB8S 31,2,fixture receives both hard values and preset-driven control
fixture,Fixture 32 HelDGB8S 32,2,fixture receives both hard values and preset-driven control
fixture,Fixture 33 HelDGB8S 33,2,fixture receives both hard values and preset-driven control
fixture,Fixture 34 HelDGB8S 34,2,fixture receives both hard values and preset-driven control
fixture,Fixture 35 HelDGB8S 35,2,fixture receives both hard values and preset-driven control
fixture,Fixture 36 HelDGB8S 36,2,fixture receives both hard values and preset-driven control
fixture,Fixture 37 HelDGB8S 37,2,fixture receives both hard values and preset-driven control
fixture,Fixture 38 HelDGB8S 38,2,fixture receives both hard values and preset-driven control
fixture,Fixture 39 HelDGB8S 39,2,fixture receives both hard values and preset-driven control
fixture,Fixture 4 HelDGB8S 4,2,fixture receives both hard values and preset-driven control
fixture,Fixture 40 HelDGB8S 40,2,fixture receives both hard values and preset-driven control
fixture,Fixture 5 HelDGB8S 5,2,fixture receives both hard values and preset-driven control
fixture,Fixture 6 HelDGB8S 6,2,fixture receives both hard values and preset-driven control
fixture,Fixture 7 HelDGB8S 7,2,fixture receives both hard values and preset-driven control
fixture,Fixture 8 HelDGB8S 8,2,fixture receives both hard values and preset-driven control
fixture,Fixture 9 HelDGB8S 9,2,fixture receives both hard values and preset-driven control
cue,Seq 2 Cue 40 Prichazi dalsi s asterama,2,mixed hard and preset control
cue,Seq 2 Cue 41 Jdou k nemu do rohu - Pouze astery,2,elevated hard values (29)
cue,Seq 2 Cue 49 Astery min,2,elevated hard values (15)
cue,Seq 2 Cue 57 Patrik ON,2,mixed hard and preset control
cue,Seq 2 Cue 60 Patrik ON,2,mixed hard and preset control
cue,Seq 2 Cue 62 Klara ON,2,mixed hard and preset control
cue,Seq 2 Cue 63 Adri,2,mixed hard and preset control
cue,Seq 2 Cue 64 Nat,2,mixed hard and preset control
cue,Seq 2 Cue 85.5 Muzikangti pryc jdou dolu,2,elevated hard values (21)
preset,Preset 0.11 Eff Front,1,dead preset: loaded in pool but not referenced by any cue
preset,Preset 0.13 q80-flo,1,dead preset: loaded in pool but not referenced by any cue
preset,Preset 0.24 Prava strana,1,dead preset: loaded in pool but not referenced by any cue
preset,Preset 0.3 Schody,1,dead preset: loaded in pool but not referenced by any cue
preset,Preset 0.34 Pruvany rackove,1,dead preset: loaded in pool but not referenced by any cue
preset,Preset 0.42 Asteta Main,1,dead preset: loaded in pool but not referenced by any cue
preset,Preset 0.53 Kalibrace-stredni zadni kostka,1,dead preset: loaded in pool but not referenced by any cue
preset,Preset 0.54 Kalibrace - stredy,1,dead preset: loaded in pool but not referenced by any cue
preset,Preset 0.55 Kalibrace kostky,1,dead preset: loaded in pool but not referenced by any cue
preset,Preset 0.56 Preset 0.56,1,dead preset: loaded in pool but not referenced by any cue
preset,Preset 0.71 Labus vrch,1,dead preset: loaded in pool but not referenced by any cue
preset,Preset 0.75 bert solo,1,dead preset: loaded in pool but not referenced by any cue
preset,Preset 0.78 Bert zjeveni,1,dead preset: loaded in pool but not referenced by any cue
preset,Preset 0.9 Preset 0.9,1,dead preset: loaded in pool but not referenced by any cue
cue,Seq 2 Cue 23 Vilda Dopredu MANUAL CROSS,1,touches multiple feature groups (3)
cue,Seq 2 Cue 28 Hnizdo s ptakama- s rackama zvuk,1,touches multiple feature groups (3)
