id,preset_type,number,xml_index,name,fixture_ids,fixture_details,references,value_count,source_file
preset:0.58:Tram_Analyz_preset_0.xml:44,0,0.58,57,Prave schodiste-Klouzacka,103,103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067,,16,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.60:Tram_Analyz_preset_0.xml:45,0,0.60,59,Q53 zacatek TRIO,104 105,104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133,,32,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.65:Tram_Analyz_preset_0.xml:46,0,0.65,64,Hnizdo,105,105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133,,17,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.66:Tram_Analyz_preset_0.xml:47,0,0.66,65,Jirka-Schody,106,106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166,,17,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.68:Tram_Analyz_preset_0.xml:48,0,0.68,67,Zed Wilds,106,106 | RSpiide3 6 | 7 Robin Spiider Mode 3 | 4.166,,17,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.70:Tram_Analyz_preset_0.xml:49,0,0.70,69,Labus vilda stred,101 102 201 202,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001 || 201 | SPIDER 33 1 | 7 Robin Spiider Mode 3 | 4.403 || 202 | SPIDER 33 2 | 7 Robin Spiider Mode 3 | 4.436,,32,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.71:Tram_Analyz_preset_0.xml:50,0,0.71,70,Labus vrch,104 105,104 | RSpiide3 4 | 7 Robin Spiider Mode 3 | 4.100 || 105 | RSpiide3 5 | 7 Robin Spiider Mode 3 | 4.133,,34,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.72:Tram_Analyz_preset_0.xml:51,0,0.72,71,Pravy Schody,103,103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067,,17,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.73:Tram_Analyz_preset_0.xml:52,0,0.73,72,Pravy schody 2,103,103 | RSpiide3 3 | 7 Robin Spiider Mode 3 | 4.067,,17,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.75:Tram_Analyz_preset_0.xml:53,0,0.75,74,bert solo,101 102,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001,,34,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.76:Tram_Analyz_preset_0.xml:54,0,0.76,75,Bert na stred,101 102,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001,,34,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.78:Tram_Analyz_preset_0.xml:55,0,0.78,77,Bert zjeveni,21 2 3 4 5 6 7 8 22 23 24 25 26 27 28 29 30 31 32 40 101 102 201 202,21 | HelDGB8S 21 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.001 || 2 | HelDGB8S 2 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.025 || 3 | HelDGB8S 3 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.049 || 4 | HelDGB8S 4 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.073 || 5 | HelDGB8S 5 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.097 || 6 | HelDGB8S 6 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.121 || 7 | HelDGB8S 7 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.145 || 8 | HelDGB8S 8 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 1.169 || 22 | HelDGB8S 22 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.025 || 23 | HelDGB8S 23 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.049 || 24 | HelDGB8S 24 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.073 || 25 | HelDGB8S 25 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.097 || 26 | HelDGB8S 26 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.121 || 27 | HelDGB8S 27 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.145 || 28 | HelDGB8S 28 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.169 || 29 | HelDGB8S 29 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.193 || 30 | HelDGB8S 30 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.217 || 31 | HelDGB8S 31 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.241 || 32 | HelDGB8S 32 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.265 || 40 | HelDGB8S 40 | 6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off | 2.457 || 101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001 || 201 | SPIDER 33 1 | 7 Robin Spiider Mode 3 | 4.403 || 202 | SPIDER 33 2 | 7 Robin Spiider Mode 3 | 4.436,,130,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
preset:0.81:Tram_Analyz_preset_0.xml:56,0,0.81,80,Svicka_Ksicht,101 102,101 | RSpiide3 1 | 7 Robin Spiider Mode 3 | 4.034 || 102 | RSpiide3 2 | 7 Robin Spiider Mode 3 | 4.001,,34,web_jobs_bgtest_b4154c16\20260326-111809-63eab922\uploads\Tram_Analyz_preset_0.xml
