sequence_number,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,control_mode,hard_attribute_count,hard_attributes,preset_ref_count,preset_refs,preset_types
2,34,Jon.Zustava sam,202,SPIDER 33 2,7 Robin Spiider Mode 3,4.436,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.20"", ""0.23""]","[""0""]"
2,36,Jen prava strana - Wilda na schodech,101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.15"", ""0.20""]","[""0""]"
2,36,Jen prava strana - Wilda na schodech,107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.20"", ""0.43""]","[""0""]"
2,36,Jen prava strana - Wilda na schodech,108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.20"", ""0.43""]","[""0""]"
2,38,Vkladaji astery POZA se k lidem-zastavi se,106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.12"", ""0.68""]","[""0""]"
2,44,Duet - velky nebe -HNED,101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.5"", ""0.50""]","[""0""]"
2,44,Duet - velky nebe -HNED,102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.5"", ""0.50""]","[""0""]"
2,44,Duet - velky nebe -HNED,201,SPIDER 33 1,7 Robin Spiider Mode 3,4.403,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.5"", ""0.50""]","[""0""]"
2,44,Duet - velky nebe -HNED,202,SPIDER 33 2,7 Robin Spiider Mode 3,4.436,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.5"", ""0.50""]","[""0""]"
2,85,Dekovacka,105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,mixed,17,"[""COLORMIXER"", ""COLORMIXMODE"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""CTC"", ""DIM"", ""LAMPCONTROL"", ""PAN"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED"", ""SHUTTER"", ""TILT"", ""ZOOM""]",2,"[""0.4"", ""0.65""]","[""0""]"
