kind,severity,subject,details,owner_type,owner_id,target,attribute,raw_reference,fixture_id,patch,fixture_ids,preset_id,preset_number
fixture_used_without_type,medium,fixture:1012,Channel 1012,,,,,,1012,,,,
fixture_used_without_patch_data,high,fixture:1013,Channel 1013,,,,,,1013,,,,
fixture_used_without_type,medium,fixture:1013,Channel 1013,,,,,,1013,,,,
fixture_used_without_patch_data,high,fixture:1014,Channel 1014,,,,,,1014,,,,
fixture_used_without_type,medium,fixture:1014,Channel 1014,,,,,,1014,,,,
fixture_used_without_patch_data,high,fixture:1015,Channel 1015,,,,,,1015,,,,
fixture_used_without_type,medium,fixture:1015,Channel 1015,,,,,,1015,,,,
fixture_used_without_patch_data,high,fixture:1016,Channel 1016,,,,,,1016,,,,
fixture_used_without_type,medium,fixture:1016,Channel 1016,,,,,,1016,,,,
fixture_used_without_patch_data,high,fixture:1017,Channel 1017,,,,,,1017,,,,
fixture_used_without_type,medium,fixture:1017,Channel 1017,,,,,,1017,,,,
fixture_used_without_patch_data,high,fixture:1018,Channel 1018,,,,,,1018,,,,
fixture_used_without_type,medium,fixture:1018,Channel 1018,,,,,,1018,,,,
fixture_used_without_patch_data,high,fixture:1019,Channel 1019,,,,,,1019,,,,
fixture_used_without_type,medium,fixture:1019,Channel 1019,,,,,,1019,,,,
fixture_used_without_patch_data,high,fixture:1020,Channel 1020,,,,,,1020,,,,
fixture_used_without_type,medium,fixture:1020,Channel 1020,,,,,,1020,,,,
fixture_used_without_patch_data,high,fixture:1021,Channel 1021,,,,,,1021,,,,
fixture_used_without_type,medium,fixture:1021,Channel 1021,,,,,,1021,,,,
fixture_used_without_patch_data,high,fixture:1022,Channel 1022,,,,,,1022,,,,
fixture_used_without_type,medium,fixture:1022,Channel 1022,,,,,,1022,,,,
fixture_used_without_patch_data,high,fixture:1023,Channel 1023,,,,,,1023,,,,
fixture_used_without_type,medium,fixture:1023,Channel 1023,,,,,,1023,,,,
fixture_used_without_patch_data,high,fixture:1024,Channel 1024,,,,,,1024,,,,
fixture_used_without_type,medium,fixture:1024,Channel 1024,,,,,,1024,,,,
fixture_used_without_patch_data,high,fixture:1025,Channel 1025,,,,,,1025,,,,
fixture_used_without_type,medium,fixture:1025,Channel 1025,,,,,,1025,,,,
fixture_used_without_patch_data,high,fixture:1026,Channel 1026,,,,,,1026,,,,
fixture_used_without_type,medium,fixture:1026,Channel 1026,,,,,,1026,,,,
fixture_used_without_patch_data,high,fixture:1027,Channel 1027,,,,,,1027,,,,
fixture_used_without_type,medium,fixture:1027,Channel 1027,,,,,,1027,,,,
fixture_used_without_patch_data,high,fixture:1028,Channel 1028,,,,,,1028,,,,
fixture_used_without_type,medium,fixture:1028,Channel 1028,,,,,,1028,,,,
fixture_used_without_patch_data,high,fixture:1029,Channel 1029,,,,,,1029,,,,
fixture_used_without_type,medium,fixture:1029,Channel 1029,,,,,,1029,,,,
fixture_used_without_patch_data,high,fixture:1030,Channel 1030,,,,,,1030,,,,
fixture_used_without_type,medium,fixture:1030,Channel 1030,,,,,,1030,,,,
fixture_used_without_patch_data,high,fixture:1,Fixture 1,,,,,,1,,,,
fixture_used_without_type,medium,fixture:1,Fixture 1,,,,,,1,,,,
fixture_used_without_patch_data,high,fixture:2,Fixture 2,,,,,,2,,,,
fixture_used_without_type,medium,fixture:2,Fixture 2,,,,,,2,,,,
fixture_used_without_patch_data,high,fixture:3,Fixture 3,,,,,,3,,,,
fixture_used_without_type,medium,fixture:3,Fixture 3,,,,,,3,,,,
fixture_used_without_patch_data,high,fixture:4,Fixture 4,,,,,,4,,,,
fixture_used_without_type,medium,fixture:4,Fixture 4,,,,,,4,,,,
fixture_used_without_patch_data,high,fixture:5,Fixture 5,,,,,,5,,,,
fixture_used_without_type,medium,fixture:5,Fixture 5,,,,,,5,,,,
fixture_used_without_patch_data,high,fixture:6,Fixture 6,,,,,,6,,,,
fixture_used_without_type,medium,fixture:6,Fixture 6,,,,,,6,,,,
fixture_used_without_patch_data,high,fixture:7,Fixture 7,,,,,,7,,,,
fixture_used_without_type,medium,fixture:7,Fixture 7,,,,,,7,,,,
fixture_used_without_patch_data,high,fixture:8,Fixture 8,,,,,,8,,,,
fixture_used_without_type,medium,fixture:8,Fixture 8,,,,,,8,,,,
fixture_used_without_patch_data,high,fixture:9,Fixture 9,,,,,,9,,,,
fixture_used_without_type,medium,fixture:9,Fixture 9,,,,,,9,,,,
fixture_used_without_patch_data,high,fixture:10,Fixture 10,,,,,,10,,,,
fixture_used_without_type,medium,fixture:10,Fixture 10,,,,,,10,,,,
fixture_used_without_patch_data,high,fixture:11,Fixture 11,,,,,,11,,,,
fixture_used_without_type,medium,fixture:11,Fixture 11,,,,,,11,,,,
fixture_used_without_patch_data,high,fixture:12,Fixture 12,,,,,,12,,,,
fixture_used_without_type,medium,fixture:12,Fixture 12,,,,,,12,,,,
fixture_used_without_patch_data,high,fixture:13,Fixture 13,,,,,,13,,,,
fixture_used_without_type,medium,fixture:13,Fixture 13,,,,,,13,,,,
fixture_used_without_patch_data,high,fixture:14,Fixture 14,,,,,,14,,,,
fixture_used_without_type,medium,fixture:14,Fixture 14,,,,,,14,,,,
fixture_used_without_patch_data,high,fixture:15,Fixture 15,,,,,,15,,,,
fixture_used_without_type,medium,fixture:15,Fixture 15,,,,,,15,,,,
fixture_used_without_patch_data,high,fixture:16,Fixture 16,,,,,,16,,,,
fixture_used_without_type,medium,fixture:16,Fixture 16,,,,,,16,,,,
fixture_used_without_patch_data,high,fixture:17,Fixture 17,,,,,,17,,,,
fixture_used_without_type,medium,fixture:17,Fixture 17,,,,,,17,,,,
fixture_used_without_patch_data,high,fixture:18,Fixture 18,,,,,,18,,,,
fixture_used_without_type,medium,fixture:18,Fixture 18,,,,,,18,,,,
fixture_used_without_patch_data,high,fixture:19,Fixture 19,,,,,,19,,,,
fixture_used_without_type,medium,fixture:19,Fixture 19,,,,,,19,,,,
fixture_used_without_patch_data,high,fixture:20,Fixture 20,,,,,,20,,,,
fixture_used_without_type,medium,fixture:20,Fixture 20,,,,,,20,,,,
fixture_used_without_patch_data,high,fixture:21,Fixture 21,,,,,,21,,,,
fixture_used_without_type,medium,fixture:21,Fixture 21,,,,,,21,,,,
fixture_used_without_patch_data,high,fixture:22,Fixture 22,,,,,,22,,,,
fixture_used_without_type,medium,fixture:22,Fixture 22,,,,,,22,,,,
fixture_used_without_patch_data,high,fixture:23,Fixture 23,,,,,,23,,,,
fixture_used_without_type,medium,fixture:23,Fixture 23,,,,,,23,,,,
fixture_used_without_patch_data,high,fixture:24,Fixture 24,,,,,,24,,,,
fixture_used_without_type,medium,fixture:24,Fixture 24,,,,,,24,,,,
fixture_used_without_patch_data,high,fixture:25,Fixture 25,,,,,,25,,,,
fixture_used_without_type,medium,fixture:25,Fixture 25,,,,,,25,,,,
fixture_used_without_patch_data,high,fixture:26,Fixture 26,,,,,,26,,,,
fixture_used_without_type,medium,fixture:26,Fixture 26,,,,,,26,,,,
fixture_used_without_patch_data,high,fixture:27,Fixture 27,,,,,,27,,,,
fixture_used_without_type,medium,fixture:27,Fixture 27,,,,,,27,,,,
fixture_used_without_patch_data,high,fixture:28,Fixture 28,,,,,,28,,,,
fixture_used_without_type,medium,fixture:28,Fixture 28,,,,,,28,,,,
fixture_used_without_patch_data,high,fixture:29,Fixture 29,,,,,,29,,,,
fixture_used_without_type,medium,fixture:29,Fixture 29,,,,,,29,,,,
fixture_used_without_patch_data,high,fixture:30,Fixture 30,,,,,,30,,,,
fixture_used_without_type,medium,fixture:30,Fixture 30,,,,,,30,,,,
fixture_used_without_patch_data,high,fixture:31,Fixture 31,,,,,,31,,,,
fixture_used_without_type,medium,fixture:31,Fixture 31,,,,,,31,,,,
fixture_used_without_patch_data,high,fixture:32,Fixture 32,,,,,,32,,,,
fixture_used_without_type,medium,fixture:32,Fixture 32,,,,,,32,,,,
fixture_used_without_patch_data,high,fixture:33,Fixture 33,,,,,,33,,,,
fixture_used_without_type,medium,fixture:33,Fixture 33,,,,,,33,,,,
fixture_used_without_patch_data,high,fixture:34,Fixture 34,,,,,,34,,,,
fixture_used_without_type,medium,fixture:34,Fixture 34,,,,,,34,,,,
fixture_used_without_patch_data,high,fixture:35,Fixture 35,,,,,,35,,,,
fixture_used_without_type,medium,fixture:35,Fixture 35,,,,,,35,,,,
fixture_used_without_patch_data,high,fixture:36,Fixture 36,,,,,,36,,,,
fixture_used_without_type,medium,fixture:36,Fixture 36,,,,,,36,,,,
fixture_used_without_patch_data,high,fixture:37,Fixture 37,,,,,,37,,,,
fixture_used_without_type,medium,fixture:37,Fixture 37,,,,,,37,,,,
fixture_used_without_patch_data,high,fixture:38,Fixture 38,,,,,,38,,,,
fixture_used_without_type,medium,fixture:38,Fixture 38,,,,,,38,,,,
fixture_used_without_patch_data,high,fixture:39,Fixture 39,,,,,,39,,,,
fixture_used_without_type,medium,fixture:39,Fixture 39,,,,,,39,,,,
fixture_used_without_patch_data,high,fixture:40,Fixture 40,,,,,,40,,,,
fixture_used_without_type,medium,fixture:40,Fixture 40,,,,,,40,,,,
fixture_used_without_patch_data,high,fixture:101,Fixture 101,,,,,,101,,,,
fixture_used_without_type,medium,fixture:101,Fixture 101,,,,,,101,,,,
fixture_used_without_patch_data,high,fixture:102,Fixture 102,,,,,,102,,,,
fixture_used_without_type,medium,fixture:102,Fixture 102,,,,,,102,,,,
fixture_used_without_patch_data,high,fixture:111,Fixture 111,,,,,,111,,,,
fixture_used_without_type,medium,fixture:111,Fixture 111,,,,,,111,,,,
fixture_used_without_patch_data,high,fixture:112,Fixture 112,,,,,,112,,,,
fixture_used_without_type,medium,fixture:112,Fixture 112,,,,,,112,,,,
fixture_used_without_patch_data,high,fixture:201,Fixture 201,,,,,,201,,,,
fixture_used_without_type,medium,fixture:201,Fixture 201,,,,,,201,,,,
fixture_used_without_patch_data,high,fixture:202,Fixture 202,,,,,,202,,,,
fixture_used_without_type,medium,fixture:202,Fixture 202,,,,,,202,,,,
duplicate_patch_address,high,patch:2.217,"Fixtures 30, 61",,,,,,,2.217,"[30, 61]",,
duplicate_patch_address,high,patch:2.241,"Fixtures 31, 64",,,,,,,2.241,"[31, 64]",,
unused_preset,low,preset:0.29,Preset 0.29,,,,,,,,,preset:0.29:Studio54_preset_0.xml:8,0.29
unused_preset,low,preset:0.35,spii stred,,,,,,,,,preset:0.35:Studio54_preset_0.xml:14,0.35
unused_preset,low,preset:0.38,animacnigobo,,,,,,,,,preset:0.38:Studio54_preset_0.xml:17,0.38
unused_preset,low,preset:0.39,gobo,,,,,,,,,preset:0.39:Studio54_preset_0.xml:18,0.39
unused_preset,low,preset:0.40,tetra vstup,,,,,,,,,preset:0.40:Studio54_preset_0.xml:19,0.40
unused_preset,low,preset:0.46,spot fotka,,,,,,,,,preset:0.46:Studio54_preset_0.xml:25,0.46
unused_preset,low,preset:0.48,lidi,,,,,,,,,preset:0.48:Studio54_preset_0.xml:27,0.48
unused_preset,low,preset:0.53,Astery Start,,,,,,,,,preset:0.53:Studio54_preset_0.xml:32,0.53
unused_preset,low,preset:0.59,Preset 0.59,,,,,,,,,preset:0.59:Studio54_preset_0.xml:38,0.59
unused_preset,low,preset:0.69,Preset 0.69,,,,,,,,,preset:0.69:Studio54_preset_0.xml:43,0.69
unused_preset,low,preset:0.79,bejk nahore,,,,,,,,,preset:0.79:Studio54_preset_0.xml:51,0.79
unused_preset,low,preset:0.80,fial do halue,,,,,,,,,preset:0.80:Studio54_preset_0.xml:52,0.80
unused_preset,low,preset:0.89,bejk nahore350,,,,,,,,,preset:0.89:Studio54_preset_0.xml:58,0.89
unused_preset,low,preset:2.1,Preset 2.1,,,,,,,,,preset:2.1:Studio54_preset_2.xml:1,2.1
unused_preset,low,preset:2.2,Preset 2.2,,,,,,,,,preset:2.2:Studio54_preset_2.xml:2,2.2
unused_preset,low,preset:0.3,Schody,,,,,,,,,preset:0.3:Tram_Analyz_preset_0.xml:2,0.3
unused_preset,low,preset:0.9,Preset 0.9,,,,,,,,,preset:0.9:Tram_Analyz_preset_0.xml:8,0.9
unused_preset,low,preset:0.11,Eff Front,,,,,,,,,preset:0.11:Tram_Analyz_preset_0.xml:10,0.11
unused_preset,low,preset:0.13,q80-flo,,,,,,,,,preset:0.13:Tram_Analyz_preset_0.xml:12,0.13
unused_preset,low,preset:0.24,Prava strana,,,,,,,,,preset:0.24:Tram_Analyz_preset_0.xml:23,0.24
unused_preset,low,preset:0.53,Kalibrace-stredni zadni kostka,,,,,,,,,preset:0.53:Tram_Analyz_preset_0.xml:39,0.53
unused_preset,low,preset:0.71,Labus vrch,,,,,,,,,preset:0.71:Tram_Analyz_preset_0.xml:50,0.71
unused_preset,low,preset:2.1,Preset 2.1,,,,,,,,,preset:2.1:Tram_Analyz_preset_2.xml:1,2.1
unused_preset,low,preset:2.31,White,,,,,,,,,preset:2.31:Tram_Analyz_preset_2.xml:2,2.31
unused_preset,low,preset:2.32,Red,,,,,,,,,preset:2.32:Tram_Analyz_preset_2.xml:3,2.32
unused_preset,low,preset:2.33,Orange,,,,,,,,,preset:2.33:Tram_Analyz_preset_2.xml:4,2.33
unused_preset,low,preset:2.34,Yellow,,,,,,,,,preset:2.34:Tram_Analyz_preset_2.xml:5,2.34
unused_preset,low,preset:2.35,Fern Green,,,,,,,,,preset:2.35:Tram_Analyz_preset_2.xml:6,2.35
unused_preset,low,preset:2.36,Green,,,,,,,,,preset:2.36:Tram_Analyz_preset_2.xml:7,2.36
unused_preset,low,preset:2.37,Sea Green,,,,,,,,,preset:2.37:Tram_Analyz_preset_2.xml:8,2.37
unused_preset,low,preset:2.38,Cyan,,,,,,,,,preset:2.38:Tram_Analyz_preset_2.xml:9,2.38
unused_preset,low,preset:2.39,Lavender,,,,,,,,,preset:2.39:Tram_Analyz_preset_2.xml:10,2.39
unused_preset,low,preset:2.40,Blue,,,,,,,,,preset:2.40:Tram_Analyz_preset_2.xml:11,2.40
unused_preset,low,preset:2.41,Violet,,,,,,,,,preset:2.41:Tram_Analyz_preset_2.xml:12,2.41
unused_preset,low,preset:2.42,Magenta,,,,,,,,,preset:2.42:Tram_Analyz_preset_2.xml:13,2.42
unused_preset,low,preset:2.43,Pink,,,,,,,,,preset:2.43:Tram_Analyz_preset_2.xml:14,2.43
unused_preset,low,preset:4.2,Light blue,,,,,,,,,preset:4.2:Tram_Analyz_preset_4.xml:2,4.2
unused_preset,low,preset:4.3,orange,,,,,,,,,preset:4.3:Tram_Analyz_preset_4.xml:3,4.3
unused_preset,low,preset:4.13,Light orange,,,,,,,,,preset:4.13:Tram_Analyz_preset_4.xml:7,4.13
unused_preset,low,preset:4.15,green,,,,,,,,,preset:4.15:Tram_Analyz_preset_4.xml:8,4.15
unused_preset,low,preset:4.16,Zlata,,,,,,,,,preset:4.16:Tram_Analyz_preset_4.xml:9,4.16
unused_preset,low,preset:4.18,fern green,,,,,,,,,preset:4.18:Tram_Analyz_preset_4.xml:10,4.18
unused_preset,low,preset:4.21,Preset 4.21,,,,,,,,,preset:4.21:Tram_Analyz_preset_4.xml:12,4.21
unused_preset,low,preset:4.23,Novy toon,,,,,,,,,preset:4.23:Tram_Analyz_preset_4.xml:13,4.23
