fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,cue_count,sequence_count,cue_list_preview,details
42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,COLORRGB3,97.02,12,1,10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash | 10.52 Flash | 10.54 Flash ...,repeated hard value candidate for preset cleanup
47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORRGB1,97.02,12,1,10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash | 10.52 Flash | 10.54 Flash ...,repeated hard value candidate for preset cleanup
47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORRGB2,97.02,12,1,10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash | 10.52 Flash | 10.54 Flash ...,repeated hard value candidate for preset cleanup
47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,COLORRGB3,97.02,12,1,10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash | 10.52 Flash | 10.54 Flash ...,repeated hard value candidate for preset cleanup
48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORRGB1,97.02,12,1,10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash | 10.52 Flash | 10.54 Flash ...,repeated hard value candidate for preset cleanup
48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORRGB2,97.02,12,1,10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash | 10.52 Flash | 10.54 Flash ...,repeated hard value candidate for preset cleanup
48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,COLORRGB3,97.02,12,1,10.40 Flash | 10.42 Flash | 10.44 Flash | 10.46 Flash | 10.48 Flash | 10.50 Flash | 10.52 Flash | 10.54 Flash ...,repeated hard value candidate for preset cleanup
4,,,,COLORRGB31,0.00,11,3,1.1 Cue 1 | 8.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu ...,repeated hard value candidate for preset cleanup
4,,,,COLORRGB32,0.00,11,3,1.1 Cue 1 | 8.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu ...,repeated hard value candidate for preset cleanup
4,,,,COLORRGB33,0.00,11,3,1.1 Cue 1 | 8.1 Cue 1 | 10.27 beegees 6:37.6 | 10.65 final flash | 10.76 ondra hodi koukain novy track | 10.79 chuze STYCH od garaze velky | 10.80 Alex gr STYCH od klaviru patrik osuka alexe | 10.81 disko gula dolu ...,repeated hard value candidate for preset cleanup
