sequence_count,cue_count,preset_count,group_count,effect_count,sequences,cues,presets,groups,effects,hard_value_atoms,dimmer_value_atoms,preset_ref_atoms,effect_ref_atoms,group_ref_atoms,patch_target_type,patch_target_id,fixture_id,channel_id,subfixture_id,patch_target_key
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1021,,1021,,channel:1021
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1022,,1022,,channel:1022
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1023,,1023,,channel:1023
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1024,,1024,,channel:1024
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1025,,1025,,channel:1025
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1026,,1026,,channel:1026
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1027,,1027,,channel:1027
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1028,,1028,,channel:1028
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,channel,1029,,1029,,channel:1029
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,1,0,0,0,fixture,1030,,1030,,channel:1030
