sequence_number,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,control_mode,hard_attribute_count,hard_attributes,dimmer_attribute_count,dimmer_attributes,preset_ref_count,preset_refs,preset_types
10,89,koks KOUR GARAZ,5,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",4,"[""DIM"", ""DIM2"", ""SHUTTER"", ""SHUTTER2""]",2,"[""0.42"", ""0.45""]","[""0""]"
10,89,koks KOUR GARAZ,6,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",4,"[""DIM"", ""DIM2"", ""SHUTTER"", ""SHUTTER2""]",2,"[""0.42"", ""0.45""]","[""0""]"
10,89,koks KOUR GARAZ,7,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",4,"[""DIM"", ""DIM2"", ""SHUTTER"", ""SHUTTER2""]",2,"[""0.42"", ""0.45""]","[""0""]"
10,89,koks KOUR GARAZ,8,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",4,"[""DIM"", ""DIM2"", ""SHUTTER"", ""SHUTTER2""]",2,"[""0.42"", ""0.45""]","[""0""]"
2,85,Dekovacka,101,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT"", ""PAN"", ""TILT""]",2,"[""DIM"", ""SHUTTER""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,85,Dekovacka,102,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT"", ""PAN"", ""TILT""]",2,"[""DIM"", ""SHUTTER""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,85,Dekovacka,201,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT"", ""PAN"", ""TILT""]",2,"[""DIM"", ""SHUTTER""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,85,Dekovacka,202,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT"", ""PAN"", ""TILT""]",2,"[""DIM"", ""SHUTTER""]",2,"[""0.16"", ""0.4""]","[""0""]"
10,27,beegees 6:37.6,1,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,27,beegees 6:37.6,2,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,27,beegees 6:37.6,3,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,27,beegees 6:37.6,4,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,27,beegees 6:37.6,5,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,27,beegees 6:37.6,6,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,27,beegees 6:37.6,7,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,27,beegees 6:37.6,8,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,98,Flo BLESK kdyz se vyfoti tereze,1,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,98,Flo BLESK kdyz se vyfoti tereze,2,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,98,Flo BLESK kdyz se vyfoti tereze,3,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,98,Flo BLESK kdyz se vyfoti tereze,4,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,98,Flo BLESK kdyz se vyfoti tereze,5,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,98,Flo BLESK kdyz se vyfoti tereze,6,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,98,Flo BLESK kdyz se vyfoti tereze,7,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
10,98,Flo BLESK kdyz se vyfoti tereze,8,,,,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
2,86,lidi,103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,mixed,8,"[""COLORMIXER"", ""COLORMIXMODE"", ""CTC"", ""LAMPCONTROL"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED""]",2,"[""DIM"", ""SHUTTER""]",1,"[""0.4""]","[""0""]"
2,86,lidi,104,RSpiide3 4,7 Robin Spiider Mode 3,4.100,mixed,8,"[""COLORMIXER"", ""COLORMIXMODE"", ""CTC"", ""LAMPCONTROL"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED""]",2,"[""DIM"", ""SHUTTER""]",1,"[""0.4""]","[""0""]"
2,86,lidi,105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,mixed,8,"[""COLORMIXER"", ""COLORMIXMODE"", ""CTC"", ""LAMPCONTROL"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED""]",2,"[""DIM"", ""SHUTTER""]",1,"[""0.4""]","[""0""]"
2,86,lidi,106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,mixed,8,"[""COLORMIXER"", ""COLORMIXMODE"", ""CTC"", ""LAMPCONTROL"", ""PIXELEFFECTS"", ""PIXELEFFECTSFADE"", ""PIXELEFFECTSSPEED"", ""POSITIONMSPEED""]",2,"[""DIM"", ""SHUTTER""]",1,"[""0.4""]","[""0""]"
2,85,Dekovacka,107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",3,"[""0.4"", ""0.49"", ""0.6""]","[""0""]"
2,36,Jen prava strana - Wilda na schodech,101,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",2,"[""0.15"", ""0.20""]","[""0""]"
10,1,lidi,21,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
10,1,lidi,22,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
10,1,lidi,23,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
10,1,lidi,24,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
10,1,lidi,25,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
10,1,lidi,26,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.52""]","[""0""]"
2,18,Rackove rostazeny nohy 5:05,107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.49""]","[""0""]"
2,18,Rackove rostazeny nohy 5:05,108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.49""]","[""0""]"
2,21,cela plocha,106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.66""]","[""0""]"
2,36,Jen prava strana - Wilda na schodech,201,,,,mixed,7,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT"", ""ZOOM""]",1,"[""DIM""]",1,"[""0.20""]","[""0""]"
2,85,Dekovacka,108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",3,"[""0.4"", ""0.49"", ""0.6""]","[""0""]"
2,14,Groteska W. hodi zradlo,108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",2,"[""0.49"", ""0.6""]","[""0""]"
2,85,Dekovacka,106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",2,"[""0.4"", ""0.66""]","[""0""]"
2,86,lidi,101,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT""]",2,"[""DIM"", ""SHUTTER""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,86,lidi,102,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT""]",2,"[""DIM"", ""SHUTTER""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,86,lidi,201,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT""]",2,"[""DIM"", ""SHUTTER""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,86,lidi,202,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""FLOWERCOLORMACROS"", ""FLOWEREFFECT""]",2,"[""DIM"", ""SHUTTER""]",2,"[""0.16"", ""0.4""]","[""0""]"
2,46,Velkej ptak,101,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",0,[],1,"[""0.50""]","[""0""]"
26,1,Cue 1,21,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",1,"[""0.41""]","[""0""]"
26,1,Cue 1,22,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",1,"[""0.41""]","[""0""]"
26,1,Cue 1,23,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",1,"[""0.41""]","[""0""]"
26,1,Cue 1,24,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",1,"[""0.41""]","[""0""]"
26,1,Cue 1,25,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",1,"[""0.41""]","[""0""]"
26,1,Cue 1,26,,,,mixed,6,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5"", ""PAN"", ""TILT""]",1,"[""DIM""]",1,"[""0.41""]","[""0""]"
10,89,koks KOUR GARAZ,16,,,,mixed,5,"[""COLOR1"", ""COLOR2"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]",0,[],1,"[""0.42""]","[""0""]"
2,44,Duet - velky nebe -HNED,101,,,,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",1,"[""DIM""]",2,"[""0.5"", ""0.50""]","[""0""]"
2,44,Duet - velky nebe -HNED,102,,,,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",1,"[""DIM""]",2,"[""0.5"", ""0.50""]","[""0""]"
2,44,Duet - velky nebe -HNED,201,,,,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",1,"[""DIM""]",2,"[""0.5"", ""0.50""]","[""0""]"
2,44,Duet - velky nebe -HNED,202,,,,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",1,"[""DIM""]",2,"[""0.5"", ""0.50""]","[""0""]"
10,103,blesk,41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",0,[],1,"[""0.85""]","[""0""]"
10,103,blesk,42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",0,[],1,"[""0.85""]","[""0""]"
10,103,blesk,43,RLB350M1 3,12 Robin LEDBeam 350 Mode 1,13.045,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",0,[],1,"[""0.85""]","[""0""]"
10,103,blesk,44,RLB350M1 4,12 Robin LEDBeam 350 Mode 1,13.067,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",0,[],1,"[""0.85""]","[""0""]"
10,103,blesk,45,RLB350M1 5,12 Robin LEDBeam 350 Mode 1,13.089,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",0,[],1,"[""0.85""]","[""0""]"
10,103,blesk,46,RLB350M1 6,12 Robin LEDBeam 350 Mode 1,13.111,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",0,[],1,"[""0.85""]","[""0""]"
10,103,blesk,47,RLB350M1 7,12 Robin LEDBeam 350 Mode 1,5.001,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",0,[],1,"[""0.85""]","[""0""]"
10,103,blesk,48,RLB350M1 8,12 Robin LEDBeam 350 Mode 1,5.023,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",0,[],1,"[""0.85""]","[""0""]"
10,103,blesk,49,RLB350M1 9,12 Robin LEDBeam 350 Mode 1,5.045,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",0,[],1,"[""0.85""]","[""0""]"
10,103,blesk,50,RLB350M1 10,12 Robin LEDBeam 350 Mode 1,5.067,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",0,[],1,"[""0.85""]","[""0""]"
10,103,blesk,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",0,[],1,"[""0.85""]","[""0""]"
10,103,blesk,52,RLB350M1 12,12 Robin LEDBeam 350 Mode 1,5.111,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",0,[],1,"[""0.85""]","[""0""]"
10,105.5,PLATFORMA,67,HotboxW8 1,14 Hotbox RGBW 8 channel,1.401,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",0,[],1,"[""0.90""]","[""0""]"
10,89,koks KOUR GARAZ,27,,,,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",1,"[""DIM""]",1,"[""0.42""]","[""0""]"
10,89,koks KOUR GARAZ,28,,,,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",1,"[""DIM""]",1,"[""0.42""]","[""0""]"
2,32,Po procesu - s hudbou,103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",1,"[""DIM""]",1,"[""0.1""]","[""0""]"
2,33,Vilda Domluvi,101,,,,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",1,"[""DIM""]",1,"[""0.5""]","[""0""]"
2,33,Vilda Domluvi,102,,,,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",1,"[""DIM""]",1,"[""0.5""]","[""0""]"
2,33,Vilda Domluvi,201,,,,mixed,4,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",1,"[""DIM""]",1,"[""0.5""]","[""0""]"
