fixture_id,channel_id,subfixture_id,patch_target_type,patch_target_id,patch_target_key,name,label,fixture_type,mode,patch,universe,address,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,source_file,metadata
13,,,fixture,13,fixture:13,HelDGB8S 13,HelDGB8S 13,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.289,1,289,2,-1,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""12"", ""name"": ""HelDGB8S 13"", ""fixtureid"": ""13"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
14,,,fixture,14,fixture:14,HelDGB8S 14,HelDGB8S 14,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.313,1,313,3,-1,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""13"", ""name"": ""HelDGB8S 14"", ""fixtureid"": ""14"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
15,,,fixture,15,fixture:15,HelDGB8S 15,HelDGB8S 15,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.337,1,337,4,-1,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""14"", ""name"": ""HelDGB8S 15"", ""fixtureid"": ""15"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
16,,,fixture,16,fixture:16,HelDGB8S 16,HelDGB8S 16,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.361,1,361,5,-1,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""15"", ""name"": ""HelDGB8S 16"", ""fixtureid"": ""16"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
17,,,fixture,17,fixture:17,HelDGB8S 17,HelDGB8S 17,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.385,1,385,6,-1,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""16"", ""name"": ""HelDGB8S 17"", ""fixtureid"": ""17"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
18,,,fixture,18,fixture:18,HelDGB8S 18,HelDGB8S 18,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.409,1,409,7,-1,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""17"", ""name"": ""HelDGB8S 18"", ""fixtureid"": ""18"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
21,,,fixture,21,fixture:21,HelDGB8S 21,HelDGB8S 21,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.001,2,1,0,-2,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""20"", ""name"": ""HelDGB8S 21"", ""fixtureid"": ""21"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
22,,,fixture,22,fixture:22,HelDGB8S 22,HelDGB8S 22,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.025,2,25,1,-2,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""21"", ""name"": ""HelDGB8S 22"", ""fixtureid"": ""22"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
23,,,fixture,23,fixture:23,HelDGB8S 23,HelDGB8S 23,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.049,2,49,2,-2,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""22"", ""name"": ""HelDGB8S 23"", ""fixtureid"": ""23"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
24,,,fixture,24,fixture:24,HelDGB8S 24,HelDGB8S 24,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.073,2,73,3,-2,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""23"", ""name"": ""HelDGB8S 24"", ""fixtureid"": ""24"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
25,,,fixture,25,fixture:25,HelDGB8S 25,HelDGB8S 25,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,2.097,2,97,4,-2,0,0,-0,0,1,1,1,exports\Tram_Analyz_patch.xml,"{""index"": ""24"", ""name"": ""HelDGB8S 25"", ""fixtureid"": ""25"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
