sequence_count,cue_count,preset_count,group_count,effect_count,sequences,cues,presets,groups,effects,hard_value_atoms,dimmer_value_atoms,preset_ref_atoms,effect_ref_atoms,group_ref_atoms,fixture_id,fixture_name,fixture_type,fixture_mode,fixture_patch
2,2,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1"", ""sequence:4:Studio54_all_sequences.xml:5""]","[""cue:0:1:Studio54_all_sequences.xml:2"", ""cue:4:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1011,,,,
2,2,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1"", ""sequence:4:Studio54_all_sequences.xml:5""]","[""cue:0:1:Studio54_all_sequences.xml:2"", ""cue:4:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1012,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1013,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1014,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1015,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1016,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1017,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1018,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1019,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1020,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1021,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1022,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1023,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1024,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1025,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1026,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1027,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1028,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1029,,,,
1,1,0,0,0,"[""sequence:0:Studio54_all_sequences.xml:1""]","[""cue:0:1:Studio54_all_sequences.xml:2""]",[],[],[],0,0,0,0,0,1030,,,,
