fixture_id,fixture_name,fixture_type,fixture_patch,feature_group,hard_cue_count,preset_cue_count,mixed_cue_count,sequence_count,details
15,,,,Beam,2,5,2,1,family uses both hard and preset control across 5 cues
202,,,,Beam,10,28,1,2,family uses both hard and preset control across 37 cues
40,,,,Color,8,24,1,2,family uses both hard and preset control across 31 cues
108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,Beam,8,41,1,2,family uses both hard and preset control across 48 cues
104,RSpiide3 4,7 Robin Spiider Mode 3,4.100,Beam,6,18,1,2,family uses both hard and preset control across 23 cues
11,,,,Color,4,39,1,6,family uses both hard and preset control across 42 cues
201,,,,Control,4,23,1,2,family uses both hard and preset control across 26 cues
202,,,,Control,4,26,1,2,family uses both hard and preset control across 29 cues
67,HotboxW8 1,14 Hotbox RGBW 8 channel,1.401,Color,3,5,1,2,family uses both hard and preset control across 7 cues
105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,Color,3,21,1,2,family uses both hard and preset control across 23 cues
21,,,,Beam,2,6,1,2,family uses both hard and preset control across 7 cues
22,,,,Beam,2,6,1,2,family uses both hard and preset control across 7 cues
23,,,,Beam,2,6,1,2,family uses both hard and preset control across 7 cues
24,,,,Beam,2,6,1,2,family uses both hard and preset control across 7 cues
25,,,,Beam,2,6,1,2,family uses both hard and preset control across 7 cues
26,,,,Beam,2,6,1,2,family uses both hard and preset control across 7 cues
107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,Other,2,44,1,2,family uses both hard and preset control across 45 cues
108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,Other,2,42,1,2,family uses both hard and preset control across 43 cues
11,,,,Gobo,1,16,1,5,family uses both hard and preset control across 16 cues
11,,,,Other,1,16,1,5,family uses both hard and preset control across 16 cues
11,,,,Position,1,16,1,5,family uses both hard and preset control across 16 cues
11,,,,Beam,1,16,1,5,family uses both hard and preset control across 16 cues
13,,,,Color,5,25,0,3,family uses both hard and preset control across 30 cues
13,,,,Position,5,2,0,2,family uses both hard and preset control across 7 cues
13,,,,Beam,5,2,0,2,family uses both hard and preset control across 7 cues
14,,,,Other,4,5,0,2,family uses both hard and preset control across 9 cues
105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,Beam,4,20,0,2,family uses both hard and preset control across 24 cues
106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,Control,4,14,0,2,family uses both hard and preset control across 18 cues
106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,Other,4,15,0,2,family uses both hard and preset control across 19 cues
9,,,,Color,3,23,0,2,family uses both hard and preset control across 26 cues
10,,,,Color,3,23,0,2,family uses both hard and preset control across 26 cues
12,,,,Color,3,36,0,6,family uses both hard and preset control across 39 cues
14,,,,Gobo,3,5,0,2,family uses both hard and preset control across 8 cues
17,,,,Color,3,37,0,6,family uses both hard and preset control across 40 cues
18,,,,Color,3,33,0,2,family uses both hard and preset control across 36 cues
19,,,,Color,3,23,0,2,family uses both hard and preset control across 26 cues
20,,,,Color,3,23,0,2,family uses both hard and preset control across 26 cues
33,,,,Color,3,23,0,2,family uses both hard and preset control across 26 cues
34,,,,Color,3,23,0,2,family uses both hard and preset control across 26 cues
35,,,,Color,3,23,0,2,family uses both hard and preset control across 26 cues
36,,,,Color,3,23,0,2,family uses both hard and preset control across 26 cues
37,,,,Color,3,23,0,2,family uses both hard and preset control across 26 cues
38,,,,Color,3,23,0,2,family uses both hard and preset control across 26 cues
39,,,,Color,3,23,0,2,family uses both hard and preset control across 26 cues
103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,Control,3,19,0,2,family uses both hard and preset control across 22 cues
103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,Other,3,20,0,2,family uses both hard and preset control across 23 cues
104,RSpiide3 4,7 Robin Spiider Mode 3,4.100,Control,3,13,0,2,family uses both hard and preset control across 16 cues
104,RSpiide3 4,7 Robin Spiider Mode 3,4.100,Other,3,14,0,2,family uses both hard and preset control across 17 cues
15,,,,Gobo,2,2,0,1,family uses both hard and preset control across 4 cues
15,,,,Other,2,2,0,1,family uses both hard and preset control across 4 cues
105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,Control,2,16,0,2,family uses both hard and preset control across 18 cues
105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,Other,2,17,0,2,family uses both hard and preset control across 19 cues
107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,Control,2,41,0,2,family uses both hard and preset control across 43 cues
108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,Control,2,39,0,2,family uses both hard and preset control across 41 cues
4,,,,Position,1,20,0,2,family uses both hard and preset control across 21 cues
4,,,,Beam,1,20,0,2,family uses both hard and preset control across 21 cues
13,,,,Gobo,1,2,0,2,family uses both hard and preset control across 3 cues
13,,,,Other,1,2,0,2,family uses both hard and preset control across 3 cues
16,,,,Other,1,13,0,6,family uses both hard and preset control across 14 cues
65,HotboxW8 5,14 Hotbox RGBW 8 channel,2.249,Color,1,4,0,2,family uses both hard and preset control across 5 cues
66,HotboxW8 6,14 Hotbox RGBW 8 channel,2.257,Color,1,4,0,2,family uses both hard and preset control across 5 cues
71,HelM1 1,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,14.001,Color,1,4,0,2,family uses both hard and preset control across 5 cues
72,HelM1 2,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,14.004,Color,1,4,0,2,family uses both hard and preset control across 5 cues
73,HelM1 3,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,14.007,Color,1,4,0,2,family uses both hard and preset control across 5 cues
74,HelM1 4,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,14.010,Color,1,4,0,2,family uses both hard and preset control across 5 cues
75,HelM1 5,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,14.013,Color,1,4,0,2,family uses both hard and preset control across 5 cues
76,HelM1 6,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,14.016,Color,1,4,0,2,family uses both hard and preset control across 5 cues
77,HelM1 7,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,14.019,Color,1,4,0,2,family uses both hard and preset control across 5 cues
78,HelM1 8,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off,14.022,Color,1,4,0,2,family uses both hard and preset control across 5 cues
103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,Beam,1,28,0,2,family uses both hard and preset control across 29 cues
