fixture_id,fixture_name,fixture_type,fixture_patch,sequence_count,cue_count,preset_count,group_count,effect_count,hard_value_atoms,dimmer_value_atoms,preset_ref_atoms,group_ref_atoms,effect_ref_atoms,preset_types_available,top_attributes,attribute_frequency,feature_group_frequency,orphan_patch,is_sparse,control_mode
11,Esprite 1,11 Robin Esprite Mode 2,2.133,9,66,23,0,0,455,22,516,0,0,"[""0""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""GOBO2"", ""PAN"", ""TILT"", ""COLOR1"", ""COLOR2"", ""GOBO1""]","{""DIM"": 41, ""COLORRGB1"": 30, ""COLORRGB2"": 30, ""COLORRGB3"": 30, ""GOBO2"": 27, ""PAN"": 27, ""TILT"": 27, ""COLOR1"": 27, ""COLOR2"": 27, ""GOBO1"": 27, ""IRIS"": 27, ""FOCUS"": 27, ""SHUTTER"": 27, ""GOBO2_POS"": 25, ""ZOOM"": 25, ""SHAPER ROT"": 25, ""BLADE1A"": 25, ""BLADE1B"": 25, ""BLADE2A"": 25, ""BLADE2B"": 25, ""BLADE3A"": 25, ""BLADE3B"": 25, ""BLADE4A"": 25, ""BLADE4B"": 25, ""EFFECTWHEEL"": 23, ""POSITIONMSPEED"": 23, ""FIXTUREGLOBALRESET"": 23, ""PWMFREQUENCY"": 23, ""PWMFREQUENCYADJUST"": 23, ""INTENSITYMACROS"": 23, ""CTO"": 23, ""COLORMIXER"": 23, ""COLORMIXMSPEED"": 23, ""COLORMIXMSPEED2"": 23, ""ZOOMMSPEED"": 23, ""ANIMATIONWHEEL"": 23, ""ANIMATIONINDEXROTATE"": 23, ""EFFECTMACROS"": 23, ""EFFECTINDEXROTATE"": 23, ""FROST"": 23}","{""Other"": 455, ""Color"": 213, ""Beam"": 125, ""Gobo"": 79, ""Position"": 77, ""Dimmer"": 68}",False,False,mixed
12,Esprite 2,11 Robin Esprite Mode 2,2.175,10,64,20,0,0,341,20,433,0,0,"[""0""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""GOBO2"", ""PAN"", ""TILT"", ""COLOR1"", ""COLOR2"", ""GOBO1""]","{""DIM"": 34, ""COLORRGB1"": 24, ""COLORRGB2"": 24, ""COLORRGB3"": 24, ""GOBO2"": 21, ""PAN"": 21, ""TILT"": 21, ""COLOR1"": 21, ""COLOR2"": 21, ""GOBO1"": 21, ""GOBO2_POS"": 21, ""IRIS"": 21, ""ZOOM"": 21, ""FOCUS"": 21, ""SHUTTER"": 21, ""EFFECTWHEEL"": 19, ""POSITIONMSPEED"": 19, ""FIXTUREGLOBALRESET"": 19, ""PWMFREQUENCY"": 19, ""PWMFREQUENCYADJUST"": 19, ""INTENSITYMACROS"": 19, ""CTO"": 19, ""COLORMIXER"": 19, ""COLORMIXMSPEED"": 19, ""COLORMIXMSPEED2"": 19, ""ZOOMMSPEED"": 19, ""ANIMATIONWHEEL"": 19, ""ANIMATIONINDEXROTATE"": 19, ""EFFECTMACROS"": 19, ""EFFECTINDEXROTATE"": 19, ""FROST"": 19, ""SHAPER ROT"": 19, ""BLADE1A"": 19, ""BLADE1B"": 19, ""BLADE2A"": 19, ""BLADE2B"": 19, ""BLADE3A"": 19, ""BLADE3B"": 19, ""BLADE4A"": 19, ""BLADE4B"": 19}","{""Other"": 361, ""Color"": 171, ""Beam"": 101, ""Gobo"": 63, ""Position"": 61, ""Dimmer"": 55}",False,False,mixed
13,Esprite 3,11 Robin Esprite Mode 2,3.001,8,51,18,0,0,327,12,141,0,0,"[""0""]","[""DIM"", ""PAN"", ""TILT"", ""ZOOM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLOR1"", ""COLOR2"", ""FOCUS""]","{""DIM"": 19, ""PAN"": 17, ""TILT"": 17, ""ZOOM"": 17, ""COLORRGB1"": 15, ""COLORRGB2"": 15, ""COLORRGB3"": 15, ""COLOR1"": 14, ""COLOR2"": 14, ""FOCUS"": 14, ""GOBO2"": 13, ""GOBO2_POS"": 13, ""IRIS"": 13, ""GOBO1"": 12, ""SHUTTER"": 12, ""EFFECTWHEEL"": 11, ""POSITIONMSPEED"": 11, ""FIXTUREGLOBALRESET"": 11, ""PWMFREQUENCY"": 11, ""PWMFREQUENCYADJUST"": 11, ""CTO"": 11, ""COLORMIXER"": 11, ""COLORMIXMSPEED"": 11, ""COLORMIXMSPEED2"": 11, ""ZOOMMSPEED"": 11, ""ANIMATIONWHEEL"": 11, ""ANIMATIONINDEXROTATE"": 11, ""EFFECTMACROS"": 11, ""EFFECTINDEXROTATE"": 11, ""FROST"": 11, ""SHAPER ROT"": 11, ""BLADE1A"": 11, ""BLADE1B"": 11, ""BLADE2A"": 11, ""BLADE2B"": 11, ""BLADE3A"": 11, ""BLADE3B"": 11, ""BLADE4A"": 11, ""BLADE4B"": 11, ""INTENSITYMACROS"": 10}","{""Other"": 208, ""Color"": 106, ""Beam"": 66, ""Position"": 45, ""Gobo"": 38, ""Dimmer"": 31}",False,False,mixed
14,Esprite 4,11 Robin Esprite Mode 2,3.043,8,64,24,0,0,547,27,290,0,0,"[""0""]","[""DIM"", ""PAN"", ""TILT"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""ZOOM"", ""COLOR1"", ""COLOR2"", ""CTO""]","{""DIM"": 37, ""PAN"": 26, ""TILT"": 26, ""COLORRGB1"": 24, ""COLORRGB2"": 24, ""COLORRGB3"": 24, ""ZOOM"": 24, ""COLOR1"": 23, ""COLOR2"": 23, ""CTO"": 22, ""FROST"": 22, ""FOCUS"": 22, ""GOBO2"": 21, ""EFFECTWHEEL"": 21, ""POSITIONMSPEED"": 21, ""FIXTUREGLOBALRESET"": 21, ""PWMFREQUENCY"": 21, ""PWMFREQUENCYADJUST"": 21, ""INTENSITYMACROS"": 21, ""COLORMIXER"": 21, ""COLORMIXMSPEED"": 21, ""COLORMIXMSPEED2"": 21, ""ZOOMMSPEED"": 21, ""ANIMATIONWHEEL"": 21, ""ANIMATIONINDEXROTATE"": 21, ""EFFECTMACROS"": 21, ""GOBO1"": 21, ""GOBO2_POS"": 21, ""EFFECTINDEXROTATE"": 21, ""IRIS"": 21, ""SHAPER ROT"": 21, ""BLADE1A"": 21, ""BLADE1B"": 21, ""BLADE2A"": 21, ""BLADE2B"": 21, ""BLADE3A"": 21, ""BLADE3B"": 21, ""BLADE4A"": 21, ""BLADE4B"": 21, ""SHUTTER"": 21}","{""Other"": 400, ""Color"": 181, ""Beam"": 110, ""Position"": 73, ""Gobo"": 63, ""Dimmer"": 58}",False,False,mixed
15,Esprite 5,11 Robin Esprite Mode 2,3.085,8,56,21,0,0,404,18,192,0,0,"[""0""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""PAN"", ""TILT"", ""COLOR1"", ""COLOR2"", ""FOCUS"", ""ZOOM""]","{""DIM"": 29, ""COLORRGB1"": 20, ""COLORRGB2"": 20, ""COLORRGB3"": 20, ""PAN"": 19, ""TILT"": 19, ""COLOR1"": 19, ""COLOR2"": 19, ""FOCUS"": 19, ""ZOOM"": 17, ""GOBO2"": 16, ""GOBO1"": 16, ""GOBO2_POS"": 16, ""IRIS"": 16, ""SHUTTER"": 16, ""FROST"": 15, ""EFFECTWHEEL"": 14, ""POSITIONMSPEED"": 14, ""FIXTUREGLOBALRESET"": 14, ""PWMFREQUENCY"": 14, ""PWMFREQUENCYADJUST"": 14, ""INTENSITYMACROS"": 14, ""CTO"": 14, ""COLORMIXER"": 14, ""COLORMIXMSPEED"": 14, ""COLORMIXMSPEED2"": 14, ""ZOOMMSPEED"": 14, ""ANIMATIONWHEEL"": 14, ""ANIMATIONINDEXROTATE"": 14, ""EFFECTMACROS"": 14, ""EFFECTINDEXROTATE"": 14, ""SHAPER ROT"": 14, ""BLADE1A"": 14, ""BLADE1B"": 14, ""BLADE2A"": 14, ""BLADE2B"": 14, ""BLADE3A"": 14, ""BLADE3B"": 14, ""BLADE4A"": 14, ""BLADE4B"": 14}","{""Other"": 266, ""Color"": 140, ""Beam"": 81, ""Position"": 52, ""Gobo"": 48, ""Dimmer"": 45}",False,False,mixed
16,Esprite 6,11 Robin Esprite Mode 2,3.127,9,59,20,0,0,353,21,415,0,0,"[""0""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""GOBO2"", ""PAN"", ""TILT"", ""COLOR1"", ""COLOR2"", ""GOBO1""]","{""DIM"": 34, ""COLORRGB1"": 22, ""COLORRGB2"": 22, ""COLORRGB3"": 22, ""GOBO2"": 21, ""PAN"": 21, ""TILT"": 21, ""COLOR1"": 21, ""COLOR2"": 21, ""GOBO1"": 21, ""GOBO2_POS"": 21, ""IRIS"": 21, ""ZOOM"": 21, ""FOCUS"": 21, ""SHUTTER"": 21, ""INTENSITYMACROS"": 20, ""EFFECTWHEEL"": 19, ""POSITIONMSPEED"": 19, ""FIXTUREGLOBALRESET"": 19, ""PWMFREQUENCY"": 19, ""PWMFREQUENCYADJUST"": 19, ""CTO"": 19, ""COLORMIXER"": 19, ""COLORMIXMSPEED"": 19, ""COLORMIXMSPEED2"": 19, ""ZOOMMSPEED"": 19, ""ANIMATIONWHEEL"": 19, ""ANIMATIONINDEXROTATE"": 19, ""EFFECTMACROS"": 19, ""EFFECTINDEXROTATE"": 19, ""FROST"": 19, ""SHAPER ROT"": 19, ""BLADE1A"": 19, ""BLADE1B"": 19, ""BLADE2A"": 19, ""BLADE2B"": 19, ""BLADE3A"": 19, ""BLADE3B"": 19, ""BLADE4A"": 19, ""BLADE4B"": 19}","{""Other"": 362, ""Color"": 165, ""Beam"": 101, ""Gobo"": 63, ""Position"": 61, ""Dimmer"": 55}",False,False,mixed
17,Esprite 7,11 Robin Esprite Mode 2,4.133,10,64,21,0,0,354,21,471,0,0,"[""0""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""PAN"", ""TILT"", ""ZOOM"", ""FOCUS"", ""GOBO2"", ""COLOR1""]","{""DIM"": 35, ""COLORRGB1"": 25, ""COLORRGB2"": 25, ""COLORRGB3"": 25, ""PAN"": 23, ""TILT"": 23, ""ZOOM"": 23, ""FOCUS"": 23, ""GOBO2"": 22, ""COLOR1"": 22, ""COLOR2"": 22, ""GOBO1"": 22, ""GOBO2_POS"": 22, ""IRIS"": 22, ""SHUTTER"": 22, ""SHAPER ROT"": 21, ""BLADE1A"": 21, ""BLADE1B"": 21, ""BLADE2A"": 21, ""BLADE2B"": 21, ""BLADE3A"": 21, ""BLADE3B"": 21, ""BLADE4A"": 21, ""BLADE4B"": 21, ""EFFECTWHEEL"": 20, ""POSITIONMSPEED"": 20, ""FIXTUREGLOBALRESET"": 20, ""PWMFREQUENCY"": 20, ""PWMFREQUENCYADJUST"": 20, ""INTENSITYMACROS"": 20, ""CTO"": 20, ""COLORMIXER"": 20, ""COLORMIXMSPEED"": 20, ""COLORMIXMSPEED2"": 20, ""ZOOMMSPEED"": 20, ""ANIMATIONWHEEL"": 20, ""ANIMATIONINDEXROTATE"": 20, ""EFFECTMACROS"": 20, ""EFFECTINDEXROTATE"": 20, ""FROST"": 20}","{""Other"": 389, ""Color"": 179, ""Beam"": 108, ""Gobo"": 66, ""Position"": 66, ""Dimmer"": 57}",False,False,mixed
18,Esprite 8,11 Robin Esprite Mode 2,4.175,7,64,21,0,0,382,20,411,0,0,"[""0""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""PAN"", ""TILT"", ""COLOR1"", ""COLOR2"", ""ZOOM"", ""FOCUS""]","{""DIM"": 36, ""COLORRGB1"": 26, ""COLORRGB2"": 26, ""COLORRGB3"": 26, ""PAN"": 22, ""TILT"": 22, ""COLOR1"": 22, ""COLOR2"": 22, ""ZOOM"": 22, ""FOCUS"": 22, ""GOBO2"": 21, ""GOBO1"": 21, ""GOBO2_POS"": 21, ""IRIS"": 21, ""SHUTTER"": 21, ""SHAPER ROT"": 20, ""BLADE1A"": 20, ""BLADE1B"": 20, ""BLADE2A"": 20, ""BLADE2B"": 20, ""BLADE3A"": 20, ""BLADE3B"": 20, ""BLADE4A"": 20, ""BLADE4B"": 20, ""EFFECTWHEEL"": 19, ""POSITIONMSPEED"": 19, ""FIXTUREGLOBALRESET"": 19, ""PWMFREQUENCY"": 19, ""PWMFREQUENCYADJUST"": 19, ""CTO"": 19, ""COLORMIXER"": 19, ""COLORMIXMSPEED"": 19, ""COLORMIXMSPEED2"": 19, ""ZOOMMSPEED"": 19, ""ANIMATIONWHEEL"": 19, ""ANIMATIONINDEXROTATE"": 19, ""EFFECTMACROS"": 19, ""EFFECTINDEXROTATE"": 19, ""FROST"": 19, ""INTENSITYMACROS"": 18}","{""Other"": 369, ""Color"": 179, ""Beam"": 103, ""Gobo"": 63, ""Position"": 63, ""Dimmer"": 57}",False,False,mixed
19,,,,2,19,9,0,0,0,0,0,0,0,"[""0""]",[],{},{},False,False,none
20,,,,3,25,11,0,0,0,0,0,0,0,"[""0""]",[],{},{},False,False,none
