sequence_number,sequence_name,cue_number,cue_name,attribute,raw_value,value_type,fixture_id,fixture_name,fixture_type,fixture_patch,reference_target,flags,source_path,is_hard_value,source_file
0,Main QJU,0,Cue Zero,SHUTTER,18.897638,hard,1,RSpiide3 1,6 SPIIDER 33CH Mode 3,3.001,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,DIM,0,hard,2,RSpiide3 2,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,PAN,0.0041199359,hard,2,RSpiide3 2,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,TILT,0.002059968,hard,2,RSpiide3 2,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,POSITIONMSPEED,0,hard,2,RSpiide3 2,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORMIXER,0,hard,2,RSpiide3 2,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB1,100,hard,2,RSpiide3 2,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB2,100,hard,2,RSpiide3 2,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB3,100,hard,2,RSpiide3 2,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,COLORRGB5,100,hard,2,RSpiide3 2,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,ZOOM,49.999237,hard,2,RSpiide3 2,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,SHUTTER,18.897638,hard,2,RSpiide3 2,6 SPIIDER 33CH Mode 3,,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,DIM,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
0,Main QJU,0,Cue Zero,SPLITFADE,0,hard,3,RSpiide3 3,6 SPIIDER 33CH Mode 3,3.034,,[],Cue/CueDatas/CueData,True,exports\patch666_main_sequences.xml
