fixture_id,channel_id,subfixture_id,ma_fixture_id,ma_channel_id,patch_target_type,patch_target_id,patch_target_key,source_object_type,source_object_id,name,label,fixture_type,mode,patch,universe,address,raw_address,footprint,react_to_grandmaster,color,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,source_file,metadata
11,11,,,11,channel,11,channel:11,channel,11,Par 11,Par 11,4 Dimmer 00,4,1.064,1,64,64,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""10"", ""name"": ""Par 11"", ""channelid"": ""11"", ""fixturetype.name"": ""4 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
12,12,,,12,channel,12,channel:12,channel,12,Par 12,Par 12,4 Dimmer 00,4,1.028,1,28,28,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""11"", ""name"": ""Par 12"", ""channelid"": ""12"", ""fixturetype.name"": ""4 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
13,13,,,13,channel,13,channel:13,channel,13,Par 13,Par 13,4 Dimmer 00,4,1.161,1,161,161,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""12"", ""name"": ""Par 13"", ""channelid"": ""13"", ""fixturetype.name"": ""4 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
14,14,,,14,channel,14,channel:14,channel,14,Par 14,Par 14,4 Dimmer 00,4,1.162,1,162,162,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""13"", ""name"": ""Par 14"", ""channelid"": ""14"", ""fixturetype.name"": ""4 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
15,15,,,15,channel,15,channel:15,channel,15,Par 15,Par 15,4 Dimmer 00,4,1.179,1,179,179,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""14"", ""name"": ""Par 15"", ""channelid"": ""15"", ""fixturetype.name"": ""4 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
16,16,,,16,channel,16,channel:16,channel,16,Par 16,Par 16,4 Dimmer 00,4,1.178,1,178,178,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""15"", ""name"": ""Par 16"", ""channelid"": ""16"", ""fixturetype.name"": ""4 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
17,17,,,17,channel,17,channel:17,channel,17,Par 17,Par 17,4 Dimmer 00,4,1.040,1,40,40,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""16"", ""name"": ""Par 17"", ""channelid"": ""17"", ""fixturetype.name"": ""4 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
18,18,,,18,channel,18,channel:18,channel,18,Par 18,Par 18,4 Dimmer 00,4,1.081,1,81,81,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""17"", ""name"": ""Par 18"", ""channelid"": ""18"", ""fixturetype.name"": ""4 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
21,21,,,21,channel,21,channel:21,channel,21,GULA,GULA,2 Dimmer 00,2,1.177,1,177,177,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""23"", ""name"": ""GULA"", ""channelid"": ""21"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
31,31,,,31,channel,31,channel:31,channel,31,Bar,Bar,2 Dimmer 00,2,1.148,1,148,148,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""49"", ""name"": ""Bar"", ""channelid"": ""31"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
32,32,,,32,channel,32,channel:32,channel,32,Klavir,Klavir,2 Dimmer 00,2,1.152,1,152,152,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""50"", ""name"": ""Klavir"", ""channelid"": ""32"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
33,33,,,33,channel,33,channel:33,channel,33,Bar,Bar,2 Dimmer 00,2,1.149,1,149,149,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""51"", ""name"": ""Bar"", ""channelid"": ""33"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
998,998,,,998,channel,998,channel:998,channel,998,kour,kour,2 Dimmer 00,2,7.500,7,500,3572,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""0"", ""name"": ""kour"", ""channelid"": ""998"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
999,999,,,999,channel,999,channel:999,channel,999,Haze,Haze,2 Dimmer 00,2,7.510,7,510,3582,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""48"", ""name"": ""Haze"", ""channelid"": ""999"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
1001,1001,,,1001,channel,1001,channel:1001,channel,1001,Lidi,Lidi,2 Dimmer 00,2,1.211,1,211,211,1,True,ffffff,0,0,0,0,-0,0,1,1,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-104358-8869294f\uploads\Studio_54_channel_patch.xml,"{""index"": ""18"", ""name"": ""Lidi"", ""channelid"": ""1001"", ""fixturetype.name"": ""2 Dimmer 00"", ""subfixture.index"": ""0"", ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
