issue_type,severity,subject,details
mixed_control_mode,medium,11 Robin Esprite Mode 2 / COLORMIXMSPEED,"hard_atoms=9, preset_refs=71, fixtures=8, cues=29"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / COLORMIXMSPEED2,"hard_atoms=9, preset_refs=71, fixtures=8, cues=29"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / EFFECTINDEXROTATE,"hard_atoms=9, preset_refs=71, fixtures=8, cues=29"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / EFFECTMACROS,"hard_atoms=9, preset_refs=71, fixtures=8, cues=29"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / EFFECTWHEEL,"hard_atoms=9, preset_refs=71, fixtures=8, cues=29"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / FIXTUREGLOBALRESET,"hard_atoms=9, preset_refs=71, fixtures=8, cues=29"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / FOCUS,"hard_atoms=7, preset_refs=84, fixtures=8, cues=31"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / FROST,"hard_atoms=3, preset_refs=77, fixtures=8, cues=29"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / GOBO1,"hard_atoms=8, preset_refs=79, fixtures=8, cues=30"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / POSITIONMSPEED,"hard_atoms=9, preset_refs=71, fixtures=8, cues=29"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / PWMFREQUENCY,"hard_atoms=9, preset_refs=71, fixtures=8, cues=29"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / PWMFREQUENCYADJUST,"hard_atoms=9, preset_refs=71, fixtures=8, cues=29"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / SHAPER ROT,"hard_atoms=8, preset_refs=74, fixtures=8, cues=30"
mixed_control_mode,medium,11 Robin Esprite Mode 2 / ZOOMMSPEED,"hard_atoms=9, preset_refs=71, fixtures=8, cues=29"
preset_name_variation,medium,11 Robin Esprite Mode 2 / preset type 0,"42 preset names: Kluci stred koule, Lajny, Miki lavka prejezd, Natalka spot, Preset 0.29, Preset 0.59, Preset 0.69, Spot konfety"
preset_name_variation,medium,12 Robin LEDBeam 350 Mode 1 / preset type 0,"11 preset names: 350 doleva, 350 doprava, 350 nad lidi, 350 plocha, Preset 0.68, Projzi scan, Zacatek lidi, bejk nahore350"
mixed_control_mode,medium,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off / COLORRGB1,"hard_atoms=8, preset_refs=48, fixtures=8, cues=7"
mixed_control_mode,medium,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off / COLORRGB2,"hard_atoms=8, preset_refs=48, fixtures=8, cues=7"
mixed_control_mode,medium,16 Helios Tube 1: RGB - 1 Pixel - Strobe Off / COLORRGB3,"hard_atoms=8, preset_refs=48, fixtures=8, cues=7"
mixed_control_mode,medium,3 Robin Spiider Mode 3 / PAN,"hard_atoms=1, preset_refs=90, fixtures=8, cues=13"
mixed_control_mode,medium,3 Robin Spiider Mode 3 / TILT,"hard_atoms=1, preset_refs=90, fixtures=8, cues=13"
mixed_control_mode,medium,3 Robin Spiider Mode 3 / ZOOM,"hard_atoms=1, preset_refs=90, fixtures=8, cues=13"
preset_name_variation,medium,3 Robin Spiider Mode 3 / preset type 0,"18 preset names: Preset 0.29, Preset 0.59, Preset 0.69, Spiddery gula, Spii start na blesky, Zacatek lidi, bejk spiider nahore, byk"
preset_name_variation,medium,7 Robin SVB1 Mode 3 - Pixel / preset type 0,"4 preset names: Astery Start, BAR, strobo, strobo hor"
mixed_control_mode,medium,Unknown / PANROTATE,"hard_atoms=6, preset_refs=38, fixtures=8, cues=7"
pool_name_entropy,low,Preset type 0,63 distinct names in pool
