cluster_id,fixture_type,attribute_family,fixture_ids,attributes,occurrence_count,match_strength,kind_seed,fragmented,cue_range,existing_preset_number,existing_preset_score
Dimmer|3 Robin Spiider Mode 3|1,3 Robin Spiider Mode 3,Dimmer,"[1, 2, 3, 5, 6, 7]","[""DIM"", ""DIM2""]",13,1.0,exact,False,"11.39, 11.41, 11.43, 11.45, 11.47, 11.49, 11.51, 11.53, 11.55, 11.57 ...",0.32,0.262
Color|12 Robin LEDBeam 350 Mode 1|2,12 Robin LEDBeam 350 Mode 1,Color,"[41, 42, 47, 48]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",12,1.0,exact,False,"11.40, 11.42, 11.44, 11.46, 11.48, 11.50, 11.52, 11.54, 11.56, 11.58 ...",0.58,0.279
Color|3 Robin Spiider Mode 3|3,3 Robin Spiider Mode 3,Color,"[1, 2, 3, 4, 5, 6, 7, 8]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",6,0.892,near,True,"2.1, 11.27, 11.80, 11.89, 11.98, 11.114",0.32,1.0
Color|14 Hotbox RGBW 8 channel|4,14 Hotbox RGBW 8 channel,Color,"[61, 62, 63, 64]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB5""]",5,1.0,exact,False,"11.1, 11.36, 11.36.5, 11.113, 11.114",,
Dimmer|3 Robin Spiider Mode 3|5,3 Robin Spiider Mode 3,Dimmer,"[1, 2, 3, 4, 5, 6, 7, 8]","[""DIM"", ""DIM2""]",3,1.0,exact,False,"11.91, 11.103, 11.110",0.52,0.456
