sequence_number,sequence_name,cue_number,cue_name,trigger,fade,delay,command,fixture_ids,fixture_details,references,preset_refs,effect_refs,group_refs,hard_value_count,hard_value_attributes,hard_value_preview,source_file
1,Sequence 1,26,Cue 26,Time,,,,"[1, 2, 3, 4, 5, 6, 222, 21, 22, 23, 24, 51, 52, 53, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 27]","[""1 | RSpiide3 1"", ""2 | RSpiide3 2"", ""3 | RSpiide3 3"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""222 | R3LEDWm2 1"", ""21 | Sp30012 1"", ""22 | Sp30012 2"", ""23 | Sp30012 3"", ""24 | Sp30012 4"", ""51 | LUMI 1"", ""52 | LUMI 2"", ""53 | LUMI 3"", ""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""27 | Sp30012 7""]","[""preset:1.8701264"", ""preset:13.675235"", ""preset:1.870136"", ""preset:13.675242""]","[""preset:1.8701264"", ""preset:1.870136"", ""preset:13.675235"", ""preset:13.675242""]",[],[],19,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""Natalka bouchne hulkou - zvedaji stul"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999977"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""4"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""41.27076"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""61.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""9.9999997e-06"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""62.878799"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999992"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.004119873"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""25.65206"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999969"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""41.270763"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""62.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""28.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""5"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,27,Cue 27,,,,,"[1, 2, 3, 4, 5, 6, 222, 31, 32, 51, 52, 53, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 27, 76, 65, 62, 61]","[""1 | RSpiide3 1"", ""2 | RSpiide3 2"", ""3 | RSpiide3 3"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""222 | R3LEDWm2 1"", ""31 | NP300cR 1"", ""32 | NP300cR 2"", ""51 | LUMI 1"", ""52 | LUMI 2"", ""53 | LUMI 3"", ""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""27 | Sp30012 7"", ""76"", ""65"", ""62"", ""61""]","[""preset:1.8701264"", ""preset:13.675235"", ""preset:9.4017172"", ""preset:8.1041193"", ""preset:13.652069"", ""preset:1.870136"", ""preset:13.675242"", ""preset:4.5584116""]","[""preset:1.8701264"", ""preset:1.870136"", ""preset:13.652069"", ""preset:13.675235"", ""preset:13.675242"", ""preset:4.5584116"", ""preset:8.1041193"", ""preset:9.4017172""]",[],[],46,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""69.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-2.6958807"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-51.297932"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""65.499237"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""29.704124"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-41.847935"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999977"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""4"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""41.27076"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""62"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-2.6958826"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-67.49791"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999985"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""50.441959"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.88393062"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""48.499237"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""51.302059"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,28,Cue 28,,,,,"[3, 31, 32, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[""3 | RSpiide3 3"", ""31 | NP300cR 1"", ""32 | NP300cR 2"", ""1 | RSpiide3 1"", ""2 | RSpiide3 2"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18""]","[""preset:4.5584116""]","[""preset:4.5584116""]",[],[],9,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""85.5"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""80"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999992"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""39.264446"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""39.75"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,29,Cue 29,,,,,"[7, 61]","[""7 | RSpiide3 7"", ""61""]",[],[],[],[],3,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""do spotu"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""30"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""60.5"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,30,Cue 30,,,,,"[4, 51, 52, 53, 21, 22, 23, 24, 25, 26, 33, 34, 35, 36, 37, 38, 76, 64, 63, 62, 44, 43, 42, 41, 40, 39]","[""4 | RSpiide3 4"", ""51 | LUMI 1"", ""52 | LUMI 2"", ""53 | LUMI 3"", ""21 | Sp30012 1"", ""22 | Sp30012 2"", ""23 | Sp30012 3"", ""24 | Sp30012 4"", ""25 | Sp30012 5"", ""26 | Sp30012 6"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""76"", ""64"", ""63"", ""62"", ""44"", ""43 | RPointe1 3"", ""42 | RPointe1 2"", ""41 | RPointe1 1"", ""40"", ""39""]",[],[],[],[],8,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""stul pryc"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""9.9999997e-06"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999992"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""52.5"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""35"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""70.5"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,31,Cue 31,,,,,"[1, 2, 3, 4, 6, 222, 21, 22, 23, 24, 31, 32, 25, 26, 27, 28, 7, 33, 34, 35, 36, 37, 38, 51, 52, 53, 54, 64, 63, 62, 44, 43, 42, 41, 40, 39]","[""1 | RSpiide3 1"", ""2 | RSpiide3 2"", ""3 | RSpiide3 3"", ""4 | RSpiide3 4"", ""6 | RSpiide3 6"", ""222 | R3LEDWm2 1"", ""21 | Sp30012 1"", ""22 | Sp30012 2"", ""23 | Sp30012 3"", ""24 | Sp30012 4"", ""31 | NP300cR 1"", ""32 | NP300cR 2"", ""25 | Sp30012 5"", ""26 | Sp30012 6"", ""27 | Sp30012 7"", ""28 | Sp30012 8"", ""7 | RSpiide3 7"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""51 | LUMI 1"", ""52 | LUMI 2"", ""53 | LUMI 3"", ""54"", ""64"", ""63"", ""62"", ""44"", ""43 | RPointe1 3"", ""42 | RPointe1 2"", ""41 | RPointe1 1"", ""40"", ""39""]","[""preset:1.8701264"", ""preset:13.675235"", ""preset:13.25"", ""preset:1.870136"", ""preset:13.675242""]","[""preset:1.8701264"", ""preset:1.870136"", ""preset:13.25"", ""preset:13.675235"", ""preset:13.675242""]",[],[],16,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""zahodi radio"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999977"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""4"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""41.27076"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""9.9999997e-06"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999969"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""41.270763"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""51"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""20.590525"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""75.498604"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""24.501431"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""49"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""62.75"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,32,Cue 32,,,,,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18""]",[],[],[],[],1,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""50"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,33,Cue 33,,,,,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[""8 | RSpiide3 8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18""]",[],[],[],[],1,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,34,Cue 34,,,,,"[4, 31, 32, 51, 52, 53, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 54]","[""4 | RSpiide3 4"", ""31 | NP300cR 1"", ""32 | NP300cR 2"", ""51 | LUMI 1"", ""52 | LUMI 2"", ""53 | LUMI 3"", ""8 | RSpiide3 8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""21 | Sp30012 1"", ""22 | Sp30012 2"", ""23 | Sp30012 3"", ""24 | Sp30012 4"", ""25 | Sp30012 5"", ""26 | Sp30012 6"", ""27 | Sp30012 7"", ""28 | Sp30012 8"", ""54""]","[""preset:6.7520585"", ""preset:1.2345769"", ""preset:11.111118""]","[""preset:1.2345769"", ""preset:11.111118"", ""preset:6.7520585""]",[],[],11,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""nasleduje topeni ve vane"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""36.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""21.604122"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999985"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""74.56041"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""56"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999992"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""30"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""19"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,35,Cue 35,,,,,"[4, 7, 8, 21, 22, 23, 24, 31, 32, 25, 26, 27, 28, 51, 52, 53, 6, 65, 61]","[""4 | RSpiide3 4"", ""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""21 | Sp30012 1"", ""22 | Sp30012 2"", ""23 | Sp30012 3"", ""24 | Sp30012 4"", ""31 | NP300cR 1"", ""32 | NP300cR 2"", ""25 | Sp30012 5"", ""26 | Sp30012 6"", ""27 | Sp30012 7"", ""28 | Sp30012 8"", ""51 | LUMI 1"", ""52 | LUMI 2"", ""53 | LUMI 3"", ""6 | RSpiide3 6"", ""65"", ""61""]","[""preset:6.7520585"", ""preset:1.2345769"", ""preset:11.111118""]","[""preset:1.2345769"", ""preset:11.111118"", ""preset:6.7520585""]",[],[],41,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""zacne se hejbat kulisa"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""34"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""4"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""7"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""50"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""21.604122"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999985"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""74.56041"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.630159"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""56"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.897638"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""56.704136"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-56.695896"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""20.5"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""51"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""40.503433"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,36,Cue 36,,,,,"[5, 7, 65, 61]","[""5 | RSpiide3 5"", ""7 | RSpiide3 7"", ""65"", ""61""]","[""preset:12.833334""]","[""preset:12.833334""]",[],[],1,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,37,Cue 37,,,,,"[4, 6, 27]","[""4 | RSpiide3 4"", ""6 | RSpiide3 6"", ""27 | Sp30012 7""]",[],[],[],[],2,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""31.75"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,38,Cue 38,,,,,"[1, 2, 3, 4, 5, 6, 222, 27]","[""1 | RSpiide3 1"", ""2 | RSpiide3 2"", ""3 | RSpiide3 3"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""222 | R3LEDWm2 1"", ""27 | Sp30012 7""]","[""preset:9.4017172"", ""preset:1.8701264"", ""preset:13.675235"", ""preset:10.804113"", ""preset:6.5"", ""preset:4.0981932"", ""preset:1.870136"", ""preset:13.675242""]","[""preset:1.8701264"", ""preset:1.870136"", ""preset:10.804113"", ""preset:13.675235"", ""preset:13.675242"", ""preset:4.0981932"", ""preset:6.5"", ""preset:9.4017172""]",[],[],49,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""30.75"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""32"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""50"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-35.095875"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-47.247883"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999985"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""50.441959"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.88393062"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.630159"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""73.499237"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.897638"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""16.75"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""16.204121"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-49.947926"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999977"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""41.27076"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,39,Cue 39,,,,,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16""]",[],[],[],[],1,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""35.75"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,40,Cue 40,,,,,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16""]",[],[],[],[],1,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,41,Cue 41,,,,,"[1, 2, 3, 4, 5, 6, 8, 222, 21, 22, 23, 24, 31, 32, 25, 26, 27, 28]","[""1 | RSpiide3 1"", ""2 | RSpiide3 2"", ""3 | RSpiide3 3"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""8 | RSpiide3 8"", ""222 | R3LEDWm2 1"", ""21 | Sp30012 1"", ""22 | Sp30012 2"", ""23 | Sp30012 3"", ""24 | Sp30012 4"", ""31 | NP300cR 1"", ""32 | NP300cR 2"", ""25 | Sp30012 5"", ""26 | Sp30012 6"", ""27 | Sp30012 7"", ""28 | Sp30012 8""]","[""preset:9.4017172"", ""preset:1.8701264"", ""preset:13.675235"", ""preset:4.0981932"", ""preset:6.8376155"", ""preset:1.870136"", ""preset:13.675242"", ""preset:12.878795""]","[""preset:1.8701264"", ""preset:1.870136"", ""preset:12.878795"", ""preset:13.675235"", ""preset:13.675242"", ""preset:4.0981932"", ""preset:6.8376155"", ""preset:9.4017172""]",[],[],66,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""eliska"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""52"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""4"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""7"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""50"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-24.29587"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-44.547882"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999985"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""50.441959"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.88393062"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.630159"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""83.999237"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.897638"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""22.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""16.204121"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-49.947926"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,42,Cue 42,,,,,"[1, 2, 3, 4, 5, 6, 8, 222]","[""1 | RSpiide3 1"", ""2 | RSpiide3 2"", ""3 | RSpiide3 3"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""8 | RSpiide3 8"", ""222 | R3LEDWm2 1""]","[""preset:1.8701264"", ""preset:13.675235"", ""preset:8.25"", ""preset:1.870136"", ""preset:13.675242""]","[""preset:1.8701264"", ""preset:1.870136"", ""preset:13.675235"", ""preset:13.675242"", ""preset:8.25""]",[],[],14,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""toceni - pouze zem"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999977"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""32"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""41.27076"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""22.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""72.36467"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""9.9999997e-06"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.54821175"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""27.63533"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999969"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""41.270763"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,43,Cue 43,,,,,"[4, 5, 6, 8]","[""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""8 | RSpiide3 8""]","[""preset:6.25""]","[""preset:6.25""]",[],[],3,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""odjizdi postel-kulisa taky jede"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
1,Sequence 1,44,Cue 44,Time,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 222, 9, 10, 11, 12, 33, 34, 35, 36, 37, 38, 51, 52, 53, 54, 44, 43, 42, 41, 40, 39]","[""1 | RSpiide3 1"", ""2 | RSpiide3 2"", ""3 | RSpiide3 3"", ""4 | RSpiide3 4"", ""5 | RSpiide3 5"", ""6 | RSpiide3 6"", ""7 | RSpiide3 7"", ""8 | RSpiide3 8"", ""222 | R3LEDWm2 1"", ""9"", ""10"", ""11"", ""12"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""51 | LUMI 1"", ""52 | LUMI 2"", ""53 | LUMI 3"", ""54"", ""44"", ""43 | RPointe1 3"", ""42 | RPointe1 2"", ""41 | RPointe1 1"", ""40"", ""39""]","[""preset:1.8701264"", ""preset:13.675235"", ""preset:1.870136"", ""preset:13.675242""]","[""preset:1.8701264"", ""preset:1.870136"", ""preset:13.675235"", ""preset:13.675242""]",[],[],35,"[""text""]","[{""attribute"": ""text"", ""raw_value"": ""dojeta ulite"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""98.5"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""1"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""4"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""7"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-18.895882"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-49.947933"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999977"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""41.27076"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""100"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0.004119873"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""-28.347942"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""18.904121"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""40"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""99.999992"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""46.212128"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""9.9999997e-06"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""59.25"", ""fixture_id"": null}, {""attribute"": ""text"", ""raw_value"": ""0"", ""fixture_id"": null}]",exports\patch666_main_sequences.xml
