id,sequence_number,cue_number,name,fade,delay,trigger,command,part,is_main_cue_list,fixture_ids,fixture_details,references,value_count,source_file
cue:1:69:patch666_main_sequences.xml:70,1,69,Cue 69,,,,,,True,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 21 22 23 24 25 26 51 52 53 54,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 7 | RSpiide3 7 || 8 | RSpiide3 8 || 9 || 10 || 11 || 12 || 13 || 14 || 15 || 16 || 17 || 18 || 21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 25 | Sp30012 5 || 26 | Sp30012 6 || 51 | LUMI 1 || 52 | LUMI 2 || 53 | LUMI 3 || 54,,2,exports\patch666_main_sequences.xml
cue:1:70:patch666_main_sequences.xml:71,1,70,Cue 70,,,,,,True,21 22 23 24 31 32 25 26 27 28 41 42 43 51 52 53 33 34 35 36 37 38 54 86 85 84 83 82 81 65,21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 31 | NP300cR 1 || 32 | NP300cR 2 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8 || 41 | RPointe1 1 || 42 | RPointe1 2 || 43 | RPointe1 3 || 51 | LUMI 1 || 52 | LUMI 2 || 53 | LUMI 3 || 33 || 34 || 35 || 36 || 37 || 38 || 54 || 86 || 85 || 84 || 83 || 82 || 81 || 65,,29,exports\patch666_main_sequences.xml
cue:1:71:patch666_main_sequences.xml:72,1,71,Cue 71,,,,,,True,2 222 31 32 6 65,2 | RSpiide3 2 || 222 | R3LEDWm2 1 || 31 | NP300cR 1 || 32 | NP300cR 2 || 6 | RSpiide3 6 || 65,preset:8.1041193,29,exports\patch666_main_sequences.xml
cue:1:72:patch666_main_sequences.xml:73,1,72,Cue 72,,,Time,,,True,2 4 5 6 222 87 65,2 | RSpiide3 2 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 222 | R3LEDWm2 1 || 87 || 65,preset:12.121221 | preset:2.7020588 | preset:8.104126,37,exports\patch666_main_sequences.xml
cue:1:73:patch666_main_sequences.xml:74,1,73,Cue 73,,,,,,True,1 2 3 4 5 6 7 8 9 10 11 12,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 7 | RSpiide3 7 || 8 | RSpiide3 8 || 9 || 10 || 11 || 12,,4,exports\patch666_main_sequences.xml
cue:1:74:patch666_main_sequences.xml:75,1,74,Cue 74,,,Follow,,,True,65,65,,1,exports\patch666_main_sequences.xml
cue:1:75:patch666_main_sequences.xml:76,1,75,Cue 75,,,,,,True,1 2 3 4 5 6,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6,,1,exports\patch666_main_sequences.xml
cue:1:76:patch666_main_sequences.xml:77,1,76,Cue 76,,,,,,True,4 6 31 32 1 2 3 5 7 8 9 10 11 12,4 | RSpiide3 4 || 6 | RSpiide3 6 || 31 | NP300cR 1 || 32 | NP300cR 2 || 1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 5 | RSpiide3 5 || 7 | RSpiide3 7 || 8 | RSpiide3 8 || 9 || 10 || 11 || 12,preset:12.121221,20,exports\patch666_main_sequences.xml
cue:1:77:patch666_main_sequences.xml:78,1,77,Cue 77,,,,,,True,2 4 5 6 222 21 22 23 24 31 32 25 26 27 28,2 | RSpiide3 2 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 222 | R3LEDWm2 1 || 21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 31 | NP300cR 1 || 32 | NP300cR 2 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8,preset:13.468022,18,exports\patch666_main_sequences.xml
cue:1:78:patch666_main_sequences.xml:79,1,78,Cue 78,,,,,,True,1 2 3 222 51 52 53 54,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 222 | R3LEDWm2 1 || 51 | LUMI 1 || 52 | LUMI 2 || 53 | LUMI 3 || 54,preset:2.7041185 | preset:13.468022 | preset:13.468017 | preset:2.7041168 | preset:13.468024,30,exports\patch666_main_sequences.xml
cue:1:79:patch666_main_sequences.xml:80,1,79,Cue 79,,,,,,True,2 222 31 32,2 | RSpiide3 2 || 222 | R3LEDWm2 1 || 31 | NP300cR 1 || 32 | NP300cR 2,preset:5.4041195 | preset:2.4020844,25,exports\patch666_main_sequences.xml
cue:1:80:patch666_main_sequences.xml:81,1,80,Cue 80,,,,,,True,6 31 32 51 52 53 54,6 | RSpiide3 6 || 31 | NP300cR 1 || 32 | NP300cR 2 || 51 | LUMI 1 || 52 | LUMI 2 || 53 | LUMI 3 || 54,preset:2.7041187 | preset:5.402072,18,exports\patch666_main_sequences.xml
cue:1:81:patch666_main_sequences.xml:82,1,81,Cue 81,,,,,,True,2 222 51 52 53 54 87,2 | RSpiide3 2 || 222 | R3LEDWm2 1 || 51 | LUMI 1 || 52 | LUMI 2 || 53 | LUMI 3 || 54 || 87,preset:13.75 | preset:13.750008,8,exports\patch666_main_sequences.xml
cue:1:82:patch666_main_sequences.xml:83,1,82,Cue 82,,,,,,True,21 22 23 24 31 32 25 26 27 28 86 85 84 83 82 81,21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 31 | NP300cR 1 || 32 | NP300cR 2 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8 || 86 || 85 || 84 || 83 || 82 || 81,,11,exports\patch666_main_sequences.xml
cue:1:83:patch666_main_sequences.xml:84,1,83,Cue 83,,,,,,True,6 21 22 23 24 25 26 27 28 87 86 85 84 83 82 81,6 | RSpiide3 6 || 21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8 || 87 || 86 || 85 || 84 || 83 || 82 || 81,,12,exports\patch666_main_sequences.xml
cue:1:84:patch666_main_sequences.xml:85,1,84,Cue 84,,,,,,True,87,87,,2,exports\patch666_main_sequences.xml
cue:1:85:patch666_main_sequences.xml:86,1,85,Cue 85,,,,,,True,1 2 3 4 5 6 222 21 22 23 24 25 26 27 28 87 86 85 84 83 82 81,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 222 | R3LEDWm2 1 || 21 | Sp30012 1 || 22 | Sp30012 2 || 23 | Sp30012 3 || 24 | Sp30012 4 || 25 | Sp30012 5 || 26 | Sp30012 6 || 27 | Sp30012 7 || 28 | Sp30012 8 || 87 || 86 || 85 || 84 || 83 || 82 || 81,preset:13.50412 | preset:1.1914113 | preset:11.254135,40,exports\patch666_main_sequences.xml
cue:1:86:patch666_main_sequences.xml:87,1,86,Cue 86,,,,,,True,1 2 3 4 5 6 222 31 32 33 34 35 36 37 38 86 85 84 83 82 81 44 43 42 41 40 39,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 222 | R3LEDWm2 1 || 31 | NP300cR 1 || 32 | NP300cR 2 || 33 || 34 || 35 || 36 || 37 || 38 || 86 || 85 || 84 || 83 || 82 || 81 || 44 || 43 | RPointe1 3 || 42 | RPointe1 2 || 41 | RPointe1 1 || 40 || 39,preset:13.50412 | preset:11.254135,34,exports\patch666_main_sequences.xml
cue:1:87:patch666_main_sequences.xml:88,1,87,Cue 87,,,,,,True,51 52 53 54 86 85 84 83 82 81,51 | LUMI 1 || 52 | LUMI 2 || 53 | LUMI 3 || 54 || 86 || 85 || 84 || 83 || 82 || 81,,3,exports\patch666_main_sequences.xml
cue:1:88:patch666_main_sequences.xml:89,1,88,Cue 88,,,,,,True,1 2 3 4 5 6 222 31 32 33 34 35 36 37 38 44 43 42 41 40 39,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 222 | R3LEDWm2 1 || 31 | NP300cR 1 || 32 | NP300cR 2 || 33 || 34 || 35 || 36 || 37 || 38 || 44 || 43 | RPointe1 3 || 42 | RPointe1 2 || 41 | RPointe1 1 || 40 || 39,,13,exports\patch666_main_sequences.xml
cue:1:89:patch666_main_sequences.xml:90,1,89,Cue 89,,,,,,True,1 2 3 4 5 6 222 33 34 35 36 37 38 86 85 84 83 82 81 44 43 42 41 40 39,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 222 | R3LEDWm2 1 || 33 || 34 || 35 || 36 || 37 || 38 || 86 || 85 || 84 || 83 || 82 || 81 || 44 || 43 | RPointe1 3 || 42 | RPointe1 2 || 41 | RPointe1 1 || 40 || 39,,13,exports\patch666_main_sequences.xml
cue:1:90:patch666_main_sequences.xml:91,1,90,Cue 90,,,,,,True,1 2 3 4 5 6 222,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 222 | R3LEDWm2 1,,10,exports\patch666_main_sequences.xml
cue:1:91:patch666_main_sequences.xml:92,1,91,Cue 91,,,,,,True,4 5 6 222 23 24 51 52 53 54 86 85 84 83 82 81,4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 222 | R3LEDWm2 1 || 23 | Sp30012 3 || 24 | Sp30012 4 || 51 | LUMI 1 || 52 | LUMI 2 || 53 | LUMI 3 || 54 || 86 || 85 || 84 || 83 || 82 || 81,preset:2.8490102 | preset:6.5 | preset:3.5000038 | preset:5.854126 | preset:2.8490198,34,exports\patch666_main_sequences.xml
cue:1:92:patch666_main_sequences.xml:93,1,92,Cue 92,,,,,,True,4 5 6 222 23 24 51,4 | RSpiide3 4 || 5 | RSpiide3 5 || 6 | RSpiide3 6 || 222 | R3LEDWm2 1 || 23 | Sp30012 3 || 24 | Sp30012 4 || 51 | LUMI 1,,3,exports\patch666_main_sequences.xml
cue:1:93:patch666_main_sequences.xml:94,1,93,Cue 93,,,,,,True,1 2 3 222 23 24 51,1 | RSpiide3 1 || 2 | RSpiide3 2 || 3 | RSpiide3 3 || 222 | R3LEDWm2 1 || 23 | Sp30012 3 || 24 | Sp30012 4 || 51 | LUMI 1,,28,exports\patch666_main_sequences.xml
cue:1:94:patch666_main_sequences.xml:95,1,94,Cue 94,,,,,,True,23 24 52 53 54,23 | Sp30012 3 || 24 | Sp30012 4 || 52 | LUMI 2 || 53 | LUMI 3 || 54,,3,exports\patch666_main_sequences.xml
