owner_type,owner_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,value_type,fixture_id,reference_target,flags,source_path
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,9.9999997e-06,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,20.512842,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,18.630159,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,18.897638,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,0.0041199359,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,21.602062,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,-21.595882,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,32,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,59,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,4.5034332,preset_ref,,preset:4.5034332,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,-41.997711,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,71.509964,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,41.714161,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,28.490036,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,31,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,43.945313,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,82.25,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,58,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,40.503433,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,18.002289,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,99.999992,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,51.515179,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,0.0034332799,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,0.0022888184,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,85.503433,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,-10.497711,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,-40.496567,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,51.51516,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,35,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,35.5,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,30,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,31.5,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:2:patch666_main_sequences.xml:3,,,,text,40,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:3:patch666_main_sequences.xml:4,,,,text,100,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:3:patch666_main_sequences.xml:4,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:3:patch666_main_sequences.xml:4,,,,text,20,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:4:patch666_main_sequences.xml:5,,,,text,100,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:4:patch666_main_sequences.xml:5,,,,text,48.25,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:4:patch666_main_sequences.xml:5,,,,text,40,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:4:patch666_main_sequences.xml:5,,,,text,39,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:4:patch666_main_sequences.xml:5,,,,text,54.25,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,0,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,55.5,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,-126.89592,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,-20.247931,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,46.5,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,0.0041199359,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,20.252062,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,63,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,86.324791,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,99.999992,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,92.126396,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,9.9999997e-06,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,86.324783,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,92.126389,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,35,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,40,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,19,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:5:patch666_main_sequences.xml:6,,,,text,24.25,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,59.25,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,-24.83588,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,-28.347946,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,79.48716,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,1,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,4,hard,,,[],Cue/CueDatas/CueData/Preset/No
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,49.378399,hard,,,[],Cue/CueDatas/CueData/Value
cue,cue:1:6:patch666_main_sequences.xml:7,,,,text,9.9999997e-06,hard,,,[],Cue/CueDatas/CueData/Value
