fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,cue_count,sequence_count,cue_list_preview,details
13,HelDGB8S 13,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.289,DIM,0.00,7,1,2.58 Patrik OFF | 2.61 Patrik OFF | 2.68 Astery off | 2.70 Astery off | 2.72 Astery off | 2.76 J+F duet - S hudbou | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
16,HelDGB8S 16,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.361,DIM,100.00,7,2,1.1 Cue 1 | 2.37 Jdou tunelem skoro hned driv | 2.40 Prichazi dalsi s asterama | 2.62 Klara ON | 2.69 Astery ON | 2.71 Astery ON | 2.73 Astery ON,repeated hard value candidate for preset cleanup
21,HelDGB8S 21,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.001,DIM,0.00,7,1,2.16 Boj o zradlo - Na Housle 2:12 | 2.35 zustava sam LET- GESTO | 2.41 Jdou k nemu do rohu - Pouze astery | 2.42 W.spot pryc | 2.43 Zhasnuti astery..Odkuleni c.9 | 2.55 Groteska boj o zradlo - Velikeho racka | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
25,HelDGB8S 25,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.097,DIM,0.00,7,1,2.16 Boj o zradlo - Na Housle 2:12 | 2.35 zustava sam LET- GESTO | 2.41 Jdou k nemu do rohu - Pouze astery | 2.42 W.spot pryc | 2.43 Zhasnuti astery..Odkuleni c.9 | 2.55 Groteska boj o zradlo - Velikeho racka | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
28,HelDGB8S 28,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.169,DIM,0.00,7,1,2.16 Boj o zradlo - Na Housle 2:12 | 2.35 zustava sam LET- GESTO | 2.41 Jdou k nemu do rohu - Pouze astery | 2.42 W.spot pryc | 2.43 Zhasnuti astery..Odkuleni c.9 | 2.55 Groteska boj o zradlo - Velikeho racka | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
5,HelDGB8S 5,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.097,DIM,0.00,6,1,2.41 Jdou k nemu do rohu - Pouze astery | 2.68 Astery off | 2.70 Astery off | 2.72 Astery off | 2.76 J+F duet - S hudbou | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
16,HelDGB8S 16,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.361,DIM,0.00,6,1,2.41 Jdou k nemu do rohu - Pouze astery | 2.68 Astery off | 2.70 Astery off | 2.72 Astery off | 2.76 J+F duet - S hudbou | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
30,HelDGB8S 30,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.217,DIM,0.00,6,1,2.16 Boj o zradlo - Na Housle 2:12 | 2.31 Soud - proces-Na-schody | 2.32 Po procesu - s hudbou | 2.35 zustava sam LET- GESTO | 2.55 Groteska boj o zradlo - Velikeho racka | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
32,HelDGB8S 32,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.265,DIM,0.00,6,1,2.16 Boj o zradlo - Na Housle 2:12 | 2.31 Soud - proces-Na-schody | 2.32 Po procesu - s hudbou | 2.35 zustava sam LET- GESTO | 2.55 Groteska boj o zradlo - Velikeho racka | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
8,HelDGB8S 8,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.169,DIM,100.00,5,2,1.1 Cue 1 | 2.65 Ter | 2.69 Astery ON | 2.71 Astery ON | 2.73 Astery ON,repeated hard value candidate for preset cleanup
8,HelDGB8S 8,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.169,DIM,0.00,5,1,2.68 Astery off | 2.70 Astery off | 2.72 Astery off | 2.76 J+F duet - S hudbou | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
40,HelDGB8S 40,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.457,COLORRGB2,100.00,5,1,2.30.5 Soud - zelena- - bici hudba | 2.31 Soud - proces-Na-schody | 2.35 zustava sam LET- GESTO | 2.52 dialog | 2.76 J+F duet - S hudbou,repeated hard value candidate for preset cleanup
101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,DIM,100.00,5,2,2.7 Jirka ze schodu u soklu - 1:50 | 2.25 Vilda odchazi | 2.80 Flo konec sola stred | 2.85 Dekovacka | 3.1 Cue 1,repeated hard value candidate for preset cleanup
102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,DIM,100.00,5,2,2.4 Hudba | 2.7 Jirka ze schodu u soklu - 1:50 | 2.80 Flo konec sola stred | 2.85 Dekovacka | 3.1 Cue 1,repeated hard value candidate for preset cleanup
108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,DIM,100.00,5,2,2.2 lidi | 2.11 J. SOLO - 2:47 | 2.28 Hnizdo s ptakama- s rackama zvuk | 2.86 lidi | 3.1 Cue 1,repeated hard value candidate for preset cleanup
2,HelDGB8S 2,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.025,DIM,100.00,4,2,1.1 Cue 1 | 2.37 Jdou tunelem skoro hned driv | 2.40 Prichazi dalsi s asterama | 2.46.6 Labus u astery,repeated hard value candidate for preset cleanup
21,HelDGB8S 21,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.001,COLORRGB1,100.00,4,2,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 2.55 Groteska boj o zradlo - Velikeho racka | 4.1 Cue 1,repeated hard value candidate for preset cleanup
21,HelDGB8S 21,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.001,COLORRGB2,100.00,4,2,2.30.5 Soud - zelena- - bici hudba | 2.31 Soud - proces-Na-schody | 2.55 Groteska boj o zradlo - Velikeho racka | 5.1 Cue 1,repeated hard value candidate for preset cleanup
21,HelDGB8S 21,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.001,COLORRGB3,0.00,4,3,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 4.1 Cue 1 | 5.1 Cue 1,repeated hard value candidate for preset cleanup
22,HelDGB8S 22,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.025,COLORRGB1,100.00,4,2,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 2.55 Groteska boj o zradlo - Velikeho racka | 4.1 Cue 1,repeated hard value candidate for preset cleanup
22,HelDGB8S 22,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.025,COLORRGB2,100.00,4,2,2.30.5 Soud - zelena- - bici hudba | 2.31 Soud - proces-Na-schody | 2.55 Groteska boj o zradlo - Velikeho racka | 5.1 Cue 1,repeated hard value candidate for preset cleanup
