fixture_id,fixture_name,fixture_type,fixture_patch,feature_group,hard_cue_count,preset_cue_count,mixed_cue_count,sequence_count,details
104,RSpiide3 4,7 Robin Spiider Mode 3,4.100,Position,5,12,2,1,family uses both hard and preset control across 15 cues
105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,Position,4,14,2,1,family uses both hard and preset control across 16 cues
103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,Position,3,13,2,1,family uses both hard and preset control across 14 cues
202,SPIDER 33 2,7 Robin Spiider Mode 3,4.436,Beam,10,22,1,1,family uses both hard and preset control across 31 cues
40,HelDGB8S 40,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.457,Color,8,21,1,1,family uses both hard and preset control across 28 cues
108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,Beam,8,14,1,1,family uses both hard and preset control across 21 cues
104,RSpiide3 4,7 Robin Spiider Mode 3,4.100,Beam,6,12,1,1,family uses both hard and preset control across 17 cues
2,HelDGB8S 2,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.025,Color,5,21,1,1,family uses both hard and preset control across 25 cues
5,HelDGB8S 5,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.097,Color,4,21,1,1,family uses both hard and preset control across 24 cues
15,HelDGB8S 15,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.337,Color,4,21,1,1,family uses both hard and preset control across 24 cues
16,HelDGB8S 16,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.361,Color,4,21,1,1,family uses both hard and preset control across 24 cues
105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,Color,4,15,1,2,family uses both hard and preset control across 18 cues
201,SPIDER 33 1,7 Robin Spiider Mode 3,4.403,Control,4,18,1,1,family uses both hard and preset control across 21 cues
202,SPIDER 33 2,7 Robin Spiider Mode 3,4.436,Control,4,21,1,1,family uses both hard and preset control across 24 cues
107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,Other,2,17,1,1,family uses both hard and preset control across 18 cues
108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,Other,2,15,1,1,family uses both hard and preset control across 16 cues
3,HelDGB8S 3,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.049,Color,4,21,0,1,family uses both hard and preset control across 25 cues
13,HelDGB8S 13,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.289,Color,4,21,0,2,family uses both hard and preset control across 25 cues
105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,Beam,4,14,0,1,family uses both hard and preset control across 18 cues
106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,Control,4,9,0,1,family uses both hard and preset control across 13 cues
106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,Other,4,10,0,1,family uses both hard and preset control across 14 cues
1,HelDGB8S 1,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.001,Color,3,21,0,1,family uses both hard and preset control across 24 cues
4,HelDGB8S 4,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.073,Color,3,21,0,1,family uses both hard and preset control across 24 cues
6,HelDGB8S 6,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.121,Color,3,21,0,1,family uses both hard and preset control across 24 cues
7,HelDGB8S 7,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.145,Color,3,21,0,1,family uses both hard and preset control across 24 cues
8,HelDGB8S 8,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.169,Color,3,21,0,1,family uses both hard and preset control across 24 cues
9,HelDGB8S 9,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.193,Color,3,21,0,1,family uses both hard and preset control across 24 cues
10,HelDGB8S 10,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.217,Color,3,21,0,1,family uses both hard and preset control across 24 cues
11,HelDGB8S 11,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.241,Color,3,21,0,1,family uses both hard and preset control across 24 cues
12,HelDGB8S 12,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.265,Color,3,21,0,1,family uses both hard and preset control across 24 cues
14,HelDGB8S 14,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.313,Color,3,21,0,1,family uses both hard and preset control across 24 cues
17,HelDGB8S 17,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.385,Color,3,21,0,1,family uses both hard and preset control across 24 cues
18,HelDGB8S 18,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.409,Color,3,21,0,1,family uses both hard and preset control across 24 cues
19,HelDGB8S 19,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.433,Color,3,21,0,1,family uses both hard and preset control across 24 cues
20,HelDGB8S 20,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.457,Color,3,21,0,1,family uses both hard and preset control across 24 cues
