fixture_id,fixture_name,fixture_type,fixture_patch,sequence_count,cue_count,preset_count,group_count,effect_count,hard_value_atoms,preset_ref_atoms,group_ref_atoms,effect_ref_atoms,preset_types_available,top_attributes,attribute_frequency,feature_group_frequency,orphan_patch,is_sparse,control_mode
16,HelDGB8S 16,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.361,2,27,6,3,0,53,24,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 23, ""COLORRGB1"": 18, ""COLORRGB2"": 18, ""COLORRGB3"": 18}","{""Color"": 54, ""Dimmer"": 23}",False,False,mixed
17,HelDGB8S 17,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.385,2,17,6,3,0,40,18,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 15, ""COLORRGB2"": 15, ""COLORRGB3"": 15, ""DIM"": 13}","{""Color"": 45, ""Dimmer"": 13}",False,False,mixed
18,HelDGB8S 18,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.409,2,17,6,3,0,40,18,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 15, ""COLORRGB2"": 15, ""COLORRGB3"": 15, ""DIM"": 13}","{""Color"": 45, ""Dimmer"": 13}",False,False,mixed
19,HelDGB8S 19,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.433,2,13,6,1,0,38,12,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 13, ""COLORRGB2"": 13, ""COLORRGB3"": 13, ""DIM"": 11}","{""Color"": 39, ""Dimmer"": 11}",False,False,mixed
20,HelDGB8S 20,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.457,2,13,6,1,0,38,12,0,0,"[""0"", ""4""]","[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""DIM""]","{""COLORRGB1"": 13, ""COLORRGB2"": 13, ""COLORRGB3"": 13, ""DIM"": 11}","{""Color"": 39, ""Dimmer"": 11}",False,False,mixed
21,HelDGB8S 21,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.001,4,33,8,1,0,84,9,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 31, ""COLORRGB1"": 21, ""COLORRGB2"": 21, ""COLORRGB3"": 20}","{""Color"": 62, ""Dimmer"": 31}",False,False,mixed
22,HelDGB8S 22,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.025,4,29,8,1,0,80,9,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 27, ""COLORRGB1"": 21, ""COLORRGB2"": 21, ""COLORRGB3"": 20}","{""Color"": 62, ""Dimmer"": 27}",False,False,mixed
23,HelDGB8S 23,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.049,4,29,8,1,0,80,9,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 27, ""COLORRGB1"": 21, ""COLORRGB2"": 21, ""COLORRGB3"": 20}","{""Color"": 62, ""Dimmer"": 27}",False,False,mixed
24,HelDGB8S 24,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.073,4,29,8,1,0,80,9,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 27, ""COLORRGB1"": 21, ""COLORRGB2"": 21, ""COLORRGB3"": 20}","{""Color"": 62, ""Dimmer"": 27}",False,False,mixed
25,HelDGB8S 25,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.097,4,34,8,1,0,84,9,0,0,"[""0"", ""4""]","[""DIM"", ""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3""]","{""DIM"": 31, ""COLORRGB1"": 21, ""COLORRGB2"": 21, ""COLORRGB3"": 20}","{""Color"": 62, ""Dimmer"": 31}",False,False,mixed
