sequence_count,cue_count,preset_count,group_count,effect_count,sequences,cues,presets,groups,effects,hard_value_atoms,dimmer_value_atoms,preset_ref_atoms,effect_ref_atoms,group_ref_atoms,fixture_id,fixture_name,fixture_type,fixture_mode,fixture_patch
1,1,0,0,0,"[""sequence:1:Studio_54_all_sequences.xml:1""]","[""cue:1:1:Studio_54_all_sequences.xml:1""]",[],[],[],0,0,0,0,0,1019,,,,
1,1,0,0,0,"[""sequence:1:Studio_54_all_sequences.xml:1""]","[""cue:1:1:Studio_54_all_sequences.xml:1""]",[],[],[],0,0,0,0,0,1020,,,,
1,1,0,0,0,"[""sequence:1:Studio_54_all_sequences.xml:1""]","[""cue:1:1:Studio_54_all_sequences.xml:1""]",[],[],[],0,0,0,0,0,1021,,,,
1,1,0,0,0,"[""sequence:1:Studio_54_all_sequences.xml:1""]","[""cue:1:1:Studio_54_all_sequences.xml:1""]",[],[],[],0,0,0,0,0,1022,,,,
1,1,0,0,0,"[""sequence:1:Studio_54_all_sequences.xml:1""]","[""cue:1:1:Studio_54_all_sequences.xml:1""]",[],[],[],0,0,0,0,0,1023,,,,
1,1,0,0,0,"[""sequence:1:Studio_54_all_sequences.xml:1""]","[""cue:1:1:Studio_54_all_sequences.xml:1""]",[],[],[],0,0,0,0,0,1024,,,,
1,1,0,0,0,"[""sequence:1:Studio_54_all_sequences.xml:1""]","[""cue:1:1:Studio_54_all_sequences.xml:1""]",[],[],[],0,0,0,0,0,1025,,,,
1,1,0,0,0,"[""sequence:1:Studio_54_all_sequences.xml:1""]","[""cue:1:1:Studio_54_all_sequences.xml:1""]",[],[],[],0,0,0,0,0,1026,,,,
1,1,0,0,0,"[""sequence:1:Studio_54_all_sequences.xml:1""]","[""cue:1:1:Studio_54_all_sequences.xml:1""]",[],[],[],0,0,0,0,0,1027,,,,
1,1,0,0,0,"[""sequence:1:Studio_54_all_sequences.xml:1""]","[""cue:1:1:Studio_54_all_sequences.xml:1""]",[],[],[],0,0,0,0,0,1028,,,,
1,1,0,0,0,"[""sequence:1:Studio_54_all_sequences.xml:1""]","[""cue:1:1:Studio_54_all_sequences.xml:1""]",[],[],[],0,0,0,0,0,1029,,,,
