sequence_number,sequence_name,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,dimmer,position,gobo,color,beam,focus,control,preset_refs,dimmer_value_count,hard_value_count,preset_value_count
11,QJU,1,lidi,11,Esprite 1,11 Robin Esprite Mode 2,2.133,"[""D DIM=1.00"", ""P0.86 DIM=100.00"", ""P0.86 SHUTTER=18.90""]","[""P0.86 PAN=-43.20"", ""P0.86 TILT=-55.86"", ""P0.86 POSITIONMSPEED=0.00""]","[""P0.86 GOBO2=0.00"", ""P0.86 GOBO1=0.00"", ""P0.86 GOBO2_POS=50.20""]","[""P0.86 COLOR1=0.00"", ""P0.86 COLOR2=0.00"", ""P0.86 COLORRGB1=100.00"", ""P0.86 COLORRGB2=100.00"", ""P0.86 COLORRGB3=100.00"", ""P0.86 COLORMIXER=0.00"", ""P0.86 COLORMIXMSPEED=0.00"", ""P0.86 COLORMIXMSPEED2=0.00""]","[""P0.86 ZOOMMSPEED=0.00"", ""P0.86 FROST=0.00"", ""P0.86 IRIS=75.00"", ""P0.86 ZOOM=100.00"", ""P0.86 FOCUS=49.80""]",[],"[""P0.86 EFFECTWHEEL=0.00"", ""P0.86 FIXTUREGLOBALRESET=0.00"", ""P0.86 PWMFREQUENCY=0.00"", ""P0.86 PWMFREQUENCYADJUST=50.20"", ""P0.86 INTENSITYMACROS=0.00"", ""P0.86 CTO=0.00"", ""P0.86 ANIMATIONWHEEL=0.00"", ""P0.86 ANIMATIONINDEXROTATE=50.20"", ""P0.86 EFFECTMACROS=0.00"", ""P0.86 EFFECTINDEXROTATE=0.00"", ""P0.86 SHAPER ROT=50.20"", ""P0.86 BLADE1A=0.00"", ""P0.86 BLADE1B=50.20"", ""P0.86 BLADE2A=0.00"", ""P0.86 BLADE2B=50.20"", ""P0.86 BLADE3A=0.00"", ""P0.86 BLADE3B=50.20"", ""P0.86 BLADE4A=0.00"", ""P0.86 BLADE4B=50.20""]","[""0.86""]",1,0,40
11,QJU,1,lidi,12,Esprite 2,11 Robin Esprite Mode 2,2.175,"[""D DIM=1.00"", ""P0.86 DIM=100.00"", ""P0.86 SHUTTER=18.90""]","[""P0.86 PAN=221.40"", ""P0.86 TILT=-64.26"", ""P0.86 POSITIONMSPEED=0.00""]","[""P0.86 GOBO2=0.00"", ""P0.86 GOBO1=0.00"", ""P0.86 GOBO2_POS=50.20""]","[""P0.86 COLOR1=0.00"", ""P0.86 COLOR2=0.00"", ""P0.86 COLORRGB1=100.00"", ""P0.86 COLORRGB2=100.00"", ""P0.86 COLORRGB3=100.00"", ""P0.86 COLORMIXER=0.00"", ""P0.86 COLORMIXMSPEED=0.00"", ""P0.86 COLORMIXMSPEED2=0.00""]","[""P0.86 ZOOMMSPEED=0.00"", ""P0.86 FROST=0.00"", ""P0.86 IRIS=75.00"", ""P0.86 ZOOM=100.00"", ""P0.86 FOCUS=49.80""]",[],"[""P0.86 EFFECTWHEEL=0.00"", ""P0.86 FIXTUREGLOBALRESET=0.00"", ""P0.86 PWMFREQUENCY=0.00"", ""P0.86 PWMFREQUENCYADJUST=50.20"", ""P0.86 INTENSITYMACROS=0.00"", ""P0.86 CTO=0.00"", ""P0.86 ANIMATIONWHEEL=0.00"", ""P0.86 ANIMATIONINDEXROTATE=50.20"", ""P0.86 EFFECTMACROS=0.00"", ""P0.86 EFFECTINDEXROTATE=0.00"", ""P0.86 SHAPER ROT=50.20"", ""P0.86 BLADE1A=0.00"", ""P0.86 BLADE1B=50.20"", ""P0.86 BLADE2A=0.00"", ""P0.86 BLADE2B=50.20"", ""P0.86 BLADE3A=0.00"", ""P0.86 BLADE3B=50.20"", ""P0.86 BLADE4A=0.00"", ""P0.86 BLADE4B=50.20""]","[""0.86""]",1,0,40
11,QJU,1,lidi,13,Esprite 3,11 Robin Esprite Mode 2,3.001,[],"[""H PAN=-31.86"", ""H TILT=-53.62""]",[],[],"[""H ZOOM=100.00""]",[],[],[],0,3,0
11,QJU,1,lidi,14,Esprite 4,11 Robin Esprite Mode 2,3.043,"[""D SHUTTER=18.90"", ""P0.50 DIM=50.00""]","[""H POSITIONMSPEED=0.00"", ""P0.50 PAN=0.00"", ""P0.50 TILT=-14.56""]","[""H GOBO2=0.00"", ""H GOBO1=0.00"", ""H GOBO2_POS=50.20""]","[""H COLORMIXER=0.00"", ""H COLORMIXMSPEED=0.00"", ""H COLORMIXMSPEED2=0.00"", ""P0.50 COLOR1=0.00"", ""P0.50 COLOR2=0.00"", ""P0.50 COLORRGB1=100.00"", ""P0.50 COLORRGB2=100.00"", ""P0.50 COLORRGB3=100.00""]","[""H ZOOMMSPEED=0.00"", ""H IRIS=75.00"", ""P0.50 FROST=87.70"", ""P0.50 ZOOM=76.50"", ""P0.50 FOCUS=0.00""]",[],"[""H EFFECTWHEEL=0.00"", ""H FIXTUREGLOBALRESET=0.00"", ""H PWMFREQUENCY=0.00"", ""H PWMFREQUENCYADJUST=50.20"", ""H INTENSITYMACROS=0.00"", ""H CTO=0.00"", ""H ANIMATIONWHEEL=0.00"", ""H ANIMATIONINDEXROTATE=50.20"", ""H EFFECTMACROS=0.00"", ""H EFFECTINDEXROTATE=0.00"", ""H SHAPER ROT=50.20"", ""H BLADE1A=0.00"", ""H BLADE1B=50.20"", ""H BLADE2A=0.00"", ""H BLADE2B=50.20"", ""H BLADE3A=0.00"", ""H BLADE3B=50.20"", ""H BLADE4A=0.00"", ""H BLADE4B=50.20""]","[""0.50""]",1,28,11
11,QJU,1,lidi,15,Esprite 5,11 Robin Esprite Mode 2,3.085,"[""D SHUTTER=18.90"", ""P0.50 DIM=50.00""]","[""H POSITIONMSPEED=0.00"", ""P0.50 PAN=0.00"", ""P0.50 TILT=14.56""]","[""H GOBO2=0.00"", ""H GOBO1=0.00"", ""H GOBO2_POS=50.20""]","[""H COLORMIXER=0.00"", ""H COLORMIXMSPEED=0.00"", ""H COLORMIXMSPEED2=0.00"", ""P0.50 COLOR1=0.00"", ""P0.50 COLOR2=0.00"", ""P0.50 COLORRGB1=100.00"", ""P0.50 COLORRGB2=100.00"", ""P0.50 COLORRGB3=100.00""]","[""H ZOOMMSPEED=0.00"", ""H IRIS=75.00"", ""P0.50 FROST=87.70"", ""P0.50 ZOOM=76.50"", ""P0.50 FOCUS=0.00""]",[],"[""H EFFECTWHEEL=0.00"", ""H FIXTUREGLOBALRESET=0.00"", ""H PWMFREQUENCY=0.00"", ""H PWMFREQUENCYADJUST=50.20"", ""H INTENSITYMACROS=0.00"", ""H CTO=0.00"", ""H ANIMATIONWHEEL=0.00"", ""H ANIMATIONINDEXROTATE=50.20"", ""H EFFECTMACROS=0.00"", ""H EFFECTINDEXROTATE=0.00"", ""H SHAPER ROT=50.20"", ""H BLADE1A=0.00"", ""H BLADE1B=50.20"", ""H BLADE2A=0.00"", ""H BLADE2B=50.20"", ""H BLADE3A=0.00"", ""H BLADE3B=50.20"", ""H BLADE4A=0.00"", ""H BLADE4B=50.20""]","[""0.50""]",1,28,11
11,QJU,1,lidi,16,Esprite 6,11 Robin Esprite Mode 2,3.127,"[""D DIM=1.00"", ""P0.86 DIM=100.00"", ""P0.86 SHUTTER=18.90""]","[""P0.86 PAN=165.78"", ""P0.86 TILT=-60.20"", ""P0.86 POSITIONMSPEED=0.00""]","[""P0.86 GOBO2=0.00"", ""P0.86 GOBO1=0.00"", ""P0.86 GOBO2_POS=50.20""]","[""P0.86 COLOR1=0.00"", ""P0.86 COLOR2=0.00"", ""P0.86 COLORRGB1=100.00"", ""P0.86 COLORRGB2=100.00"", ""P0.86 COLORRGB3=100.00"", ""P0.86 COLORMIXER=0.00"", ""P0.86 COLORMIXMSPEED=0.00"", ""P0.86 COLORMIXMSPEED2=0.00""]","[""P0.86 ZOOMMSPEED=0.00"", ""P0.86 FROST=0.00"", ""P0.86 IRIS=75.00"", ""P0.86 ZOOM=100.00"", ""P0.86 FOCUS=49.80""]",[],"[""P0.86 EFFECTWHEEL=0.00"", ""P0.86 FIXTUREGLOBALRESET=0.00"", ""P0.86 PWMFREQUENCY=0.00"", ""P0.86 PWMFREQUENCYADJUST=50.20"", ""P0.86 INTENSITYMACROS=0.00"", ""P0.86 CTO=0.00"", ""P0.86 ANIMATIONWHEEL=0.00"", ""P0.86 ANIMATIONINDEXROTATE=50.20"", ""P0.86 EFFECTMACROS=0.00"", ""P0.86 EFFECTINDEXROTATE=0.00"", ""P0.86 SHAPER ROT=50.20"", ""P0.86 BLADE1A=0.00"", ""P0.86 BLADE1B=50.20"", ""P0.86 BLADE2A=0.00"", ""P0.86 BLADE2B=50.20"", ""P0.86 BLADE3A=0.00"", ""P0.86 BLADE3B=50.20"", ""P0.86 BLADE4A=0.00"", ""P0.86 BLADE4B=50.20""]","[""0.86""]",1,0,40
11,QJU,1,lidi,17,Esprite 7,11 Robin Esprite Mode 2,4.133,"[""D DIM=1.00"", ""P0.86 DIM=100.00"", ""P0.86 SHUTTER=18.90""]","[""P0.86 PAN=49.68"", ""P0.86 TILT=-57.96"", ""P0.86 POSITIONMSPEED=0.00""]","[""P0.86 GOBO2=0.00"", ""P0.86 GOBO1=0.00"", ""P0.86 GOBO2_POS=50.20""]","[""P0.86 COLOR1=0.00"", ""P0.86 COLOR2=0.00"", ""P0.86 COLORRGB1=100.00"", ""P0.86 COLORRGB2=100.00"", ""P0.86 COLORRGB3=100.00"", ""P0.86 COLORMIXER=0.00"", ""P0.86 COLORMIXMSPEED=0.00"", ""P0.86 COLORMIXMSPEED2=0.00""]","[""P0.86 ZOOMMSPEED=0.00"", ""P0.86 FROST=0.00"", ""P0.86 IRIS=75.00"", ""P0.86 ZOOM=100.00"", ""P0.86 FOCUS=49.80""]",[],"[""P0.86 EFFECTWHEEL=0.00"", ""P0.86 FIXTUREGLOBALRESET=0.00"", ""P0.86 PWMFREQUENCY=0.00"", ""P0.86 PWMFREQUENCYADJUST=50.20"", ""P0.86 INTENSITYMACROS=0.00"", ""P0.86 CTO=0.00"", ""P0.86 ANIMATIONWHEEL=0.00"", ""P0.86 ANIMATIONINDEXROTATE=50.20"", ""P0.86 EFFECTMACROS=0.00"", ""P0.86 EFFECTINDEXROTATE=0.00"", ""P0.86 SHAPER ROT=50.20"", ""P0.86 BLADE1A=0.00"", ""P0.86 BLADE1B=50.20"", ""P0.86 BLADE2A=0.00"", ""P0.86 BLADE2B=50.20"", ""P0.86 BLADE3A=0.00"", ""P0.86 BLADE3B=50.20"", ""P0.86 BLADE4A=0.00"", ""P0.86 BLADE4B=50.20""]","[""0.86""]",1,0,40
11,QJU,1,lidi,18,Esprite 8,11 Robin Esprite Mode 2,4.175,"[""D DIM=35.50"", ""P0.51 DIM=29.50"", ""P0.51 SHUTTER=18.90""]","[""P0.51 PAN=-8.10"", ""P0.51 TILT=-86.80"", ""P0.51 POSITIONMSPEED=0.00""]","[""P0.51 GOBO2=0.00"", ""P0.51 GOBO1=0.00"", ""P0.51 GOBO2_POS=50.20""]","[""P0.51 COLOR1=0.00"", ""P0.51 COLOR2=0.00"", ""P0.51 COLORRGB1=100.00"", ""P0.51 COLORRGB2=100.00"", ""P0.51 COLORRGB3=100.00"", ""P0.51 COLORMIXER=0.00"", ""P0.51 COLORMIXMSPEED=0.00"", ""P0.51 COLORMIXMSPEED2=0.00""]","[""P0.51 ZOOMMSPEED=0.00"", ""P0.51 FROST=0.00"", ""P0.51 IRIS=75.00"", ""P0.51 ZOOM=59.80"", ""P0.51 FOCUS=19.80""]",[],"[""P0.51 EFFECTWHEEL=0.00"", ""P0.51 FIXTUREGLOBALRESET=0.00"", ""P0.51 PWMFREQUENCY=0.00"", ""P0.51 PWMFREQUENCYADJUST=50.20"", ""P0.51 INTENSITYMACROS=0.00"", ""P0.51 CTO=0.00"", ""P0.51 ANIMATIONWHEEL=0.00"", ""P0.51 ANIMATIONINDEXROTATE=50.20"", ""P0.51 EFFECTMACROS=0.00"", ""P0.51 EFFECTINDEXROTATE=0.00"", ""P0.51 SHAPER ROT=50.20"", ""P0.51 BLADE1A=28.91"", ""P0.51 BLADE1B=50.00"", ""P0.51 BLADE2A=36.18"", ""P0.51 BLADE2B=50.00"", ""P0.51 BLADE3A=10.32"", ""P0.51 BLADE3B=50.00"", ""P0.51 BLADE4A=41.30"", ""P0.51 BLADE4B=50.00""]","[""0.51""]",1,0,40
11,QJU,1,lidi,19,,,,[],[],[],[],[],[],[],[],0,0,0
11,QJU,1,lidi,20,,,,[],[],[],[],[],[],[],[],0,0,0
