sequence_number,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,control_mode,hard_attribute_count,hard_attributes,dimmer_attribute_count,dimmer_attributes,preset_ref_count,preset_refs,preset_types
11,112,DIKY,7,Spiider 7,3 Robin Spiider Mode 3,4.067,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",0,[],2,"[""0.45"", ""0.52""]","[""0""]"
11,112,DIKY,2,Spiider 2,3 Robin Spiider Mode 3,2.034,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",0,[],1,"[""0.45""]","[""0""]"
11,112,DIKY,3,Spiider 3,3 Robin Spiider Mode 3,2.067,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",0,[],1,"[""0.45""]","[""0""]"
11,112,DIKY,4,Spiider 4,3 Robin Spiider Mode 3,2.100,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",0,[],1,"[""0.45""]","[""0""]"
11,112,DIKY,6,Spiider 6,3 Robin Spiider Mode 3,4.034,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",0,[],1,"[""0.45""]","[""0""]"
11,112,DIKY,8,Spiider 8,3 Robin Spiider Mode 3,4.100,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",0,[],1,"[""0.45""]","[""0""]"
11,114,8:15.150,1,Spiider 1,3 Robin Spiider Mode 3,2.001,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
11,114,8:15.150,2,Spiider 2,3 Robin Spiider Mode 3,2.034,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
11,114,8:15.150,3,Spiider 3,3 Robin Spiider Mode 3,2.067,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
11,114,8:15.150,4,Spiider 4,3 Robin Spiider Mode 3,2.100,mixed,8,"[""COLORRGB1"", ""COLORRGB2"", ""COLORRGB3"", ""COLORRGB31"", ""COLORRGB32"", ""COLORRGB33"", ""COLORRGB35"", ""COLORRGB5""]",2,"[""DIM"", ""DIM2""]",1,"[""0.45""]","[""0""]"
