id,number,name,cue_count,source_file,is_main_cue_list
sequence:29:Studio_54_all_sequences.xml:29,29,Sequence 29,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:30:Studio_54_all_sequences.xml:30,30,Sequence 30,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:31:Studio_54_all_sequences.xml:31,31,Sequence 31,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:32:Studio_54_all_sequences.xml:32,32,eff,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:33:Studio_54_all_sequences.xml:33,33,Kour,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:34:Studio_54_all_sequences.xml:34,34,signal,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:35:Studio_54_all_sequences.xml:35,35,Sequence 35,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:36:Studio_54_all_sequences.xml:36,36,Sequence 36,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:37:Studio_54_all_sequences.xml:37,37,Bar,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:38:Studio_54_all_sequences.xml:38,38,Klavir,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:39:Studio_54_all_sequences.xml:39,39,36,2,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:40:Studio_54_all_sequences.xml:40,40,38,2,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:41:Studio_54_all_sequences.xml:41,41,40,2,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:42:Studio_54_all_sequences.xml:42,42,41,2,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
sequence:43:Studio_54_all_sequences.xml:43,43,Sequence 43,1,C:\Users\lukas\Downloads\ma2_show_analyzer\ma2_show_analyzer\web_jobs\20260331-101932-9ab0f7fe\uploads\Studio_54_all_sequences.xml,False
