fixture_id,channel_id,subfixture_id,ma_fixture_id,ma_channel_id,patch_target_type,patch_target_id,patch_target_key,source_object_type,source_object_id,name,label,display_name,fixture_type,mode,patch,universe,address,raw_address,footprint,react_to_grandmaster,color,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,source_files,flags
11,11,,,11,channel,11,channel:11,channel,11,Par 11,Par 11,Par 11,4 Dimmer 00,4,1.064,1,64,64,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
12,12,,,12,channel,12,channel:12,channel,12,Par 12,Par 12,Par 12,4 Dimmer 00,4,1.028,1,28,28,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
13,13,,,13,channel,13,channel:13,channel,13,Par 13,Par 13,Par 13,4 Dimmer 00,4,1.161,1,161,161,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
14,14,,,14,channel,14,channel:14,channel,14,Par 14,Par 14,Par 14,4 Dimmer 00,4,1.162,1,162,162,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
15,15,,,15,channel,15,channel:15,channel,15,Par 15,Par 15,Par 15,4 Dimmer 00,4,1.179,1,179,179,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
16,16,,,16,channel,16,channel:16,channel,16,Par 16,Par 16,Par 16,4 Dimmer 00,4,1.178,1,178,178,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
17,17,,,17,channel,17,channel:17,channel,17,Par 17,Par 17,Par 17,4 Dimmer 00,4,1.040,1,40,40,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
18,18,,,18,channel,18,channel:18,channel,18,Par 18,Par 18,Par 18,4 Dimmer 00,4,1.081,1,81,81,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
21,21,,,21,channel,21,channel:21,channel,21,GULA,GULA,GULA,2 Dimmer 00,2,1.177,1,177,177,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
31,31,,,31,channel,31,channel:31,channel,31,Bar,Bar,Bar,2 Dimmer 00,2,1.148,1,148,148,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
32,32,,,32,channel,32,channel:32,channel,32,Klavir,Klavir,Klavir,2 Dimmer 00,2,1.152,1,152,152,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
33,33,,,33,channel,33,channel:33,channel,33,Bar,Bar,Bar,2 Dimmer 00,2,1.149,1,149,149,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": true, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
998,998,,,998,channel,998,channel:998,channel,998,kour,kour,kour,2 Dimmer 00,2,7.500,7,500,3572,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
999,999,,,999,channel,999,channel:999,channel,999,Haze,Haze,Haze,2 Dimmer 00,2,7.510,7,510,3582,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1001,1001,,,1001,channel,1001,channel:1001,channel,1001,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.211,1,211,211,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1002,1002,,,1002,channel,1002,channel:1002,channel,1002,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.212,1,212,212,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1003,1003,,,1003,channel,1003,channel:1003,channel,1003,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.213,1,213,213,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1004,1004,,,1004,channel,1004,channel:1004,channel,1004,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.214,1,214,214,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1005,1005,,,1005,channel,1005,channel:1005,channel,1005,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.215,1,215,215,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1006,1006,,,1006,channel,1006,channel:1006,channel,1006,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.216,1,216,216,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1007,1007,,,1007,channel,1007,channel:1007,channel,1007,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.217,1,217,217,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1008,1008,,,1008,channel,1008,channel:1008,channel,1008,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.218,1,218,218,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1009,1009,,,1009,channel,1009,channel:1009,channel,1009,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.219,1,219,219,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1010,1010,,,1010,channel,1010,channel:1010,channel,1010,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.220,1,220,220,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1011,1011,,,1011,channel,1011,channel:1011,channel,1011,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.221,1,221,221,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1012,1012,,,1012,channel,1012,channel:1012,channel,1012,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.222,1,222,222,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1013,1013,,,1013,channel,1013,channel:1013,channel,1013,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.223,1,223,223,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1014,1014,,,1014,channel,1014,channel:1014,channel,1014,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.224,1,224,224,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1015,1015,,,1015,channel,1015,channel:1015,channel,1015,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.225,1,225,225,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1016,1016,,,1016,channel,1016,channel:1016,channel,1016,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.226,1,226,226,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1017,1017,,,1017,channel,1017,channel:1017,channel,1017,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.227,1,227,227,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1018,1018,,,1018,channel,1018,channel:1018,channel,1018,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.228,1,228,228,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1019,1019,,,1019,channel,1019,channel:1019,channel,1019,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.229,1,229,229,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
1020,1020,,,1020,channel,1020,channel:1020,channel,1020,Lidi,Lidi,Lidi,2 Dimmer 00,2,1.230,1,230,230,1,True,ffffff,0,0,0,0,-0,0,1,1,1,"[""C:\\Users\\lukas\\Downloads\\ma2_show_analyzer\\ma2_show_analyzer\\web_jobs\\20260331-103733-e4ddd803\\uploads\\Studio_54_channel_patch.xml""]","{""is_patched"": true, ""is_used_in_cues"": true, ""is_used_in_presets"": false, ""has_spatial_data"": true, ""has_patch_data"": true, ""has_fixture_type"": true, ""referenced_in_atoms"": true, ""is_channel"": true, ""is_subfixture"": false, ""is_fixture"": false}"
