fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,cue_count,sequence_count,cue_list_preview,details
1,Spiider 1,3 Robin Spiider Mode 3,2.001,COLORRGB3,99.40,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
2,Spiider 2,3 Robin Spiider Mode 3,2.034,COLORRGB31,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
2,Spiider 2,3 Robin Spiider Mode 3,2.034,COLORRGB32,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
2,Spiider 2,3 Robin Spiider Mode 3,2.034,COLORRGB33,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
2,Spiider 2,3 Robin Spiider Mode 3,2.034,COLORRGB35,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
3,Spiider 3,3 Robin Spiider Mode 3,2.067,COLORRGB31,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
3,Spiider 3,3 Robin Spiider Mode 3,2.067,COLORRGB32,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
3,Spiider 3,3 Robin Spiider Mode 3,2.067,COLORRGB33,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
3,Spiider 3,3 Robin Spiider Mode 3,2.067,COLORRGB35,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
5,Spiider 5,3 Robin Spiider Mode 3,4.001,COLORRGB1,99.40,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
5,Spiider 5,3 Robin Spiider Mode 3,4.001,COLORRGB2,99.40,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
5,Spiider 5,3 Robin Spiider Mode 3,4.001,COLORRGB3,99.40,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
6,Spiider 6,3 Robin Spiider Mode 3,4.034,COLORRGB31,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
6,Spiider 6,3 Robin Spiider Mode 3,4.034,COLORRGB32,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
6,Spiider 6,3 Robin Spiider Mode 3,4.034,COLORRGB33,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
6,Spiider 6,3 Robin Spiider Mode 3,4.034,COLORRGB35,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
7,Spiider 7,3 Robin Spiider Mode 3,4.067,COLORRGB31,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
7,Spiider 7,3 Robin Spiider Mode 3,4.067,COLORRGB32,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
7,Spiider 7,3 Robin Spiider Mode 3,4.067,COLORRGB33,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
7,Spiider 7,3 Robin Spiider Mode 3,4.067,COLORRGB35,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
8,Spiider 8,3 Robin Spiider Mode 3,4.100,COLORRGB31,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
8,Spiider 8,3 Robin Spiider Mode 3,4.100,COLORRGB32,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
8,Spiider 8,3 Robin Spiider Mode 3,4.100,COLORRGB33,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
8,Spiider 8,3 Robin Spiider Mode 3,4.100,COLORRGB35,0.00,12,2,2.1 Cue 1 | 11.27 beegees 6:37.6 | 11.65 final flash | 11.76 ondra hodi koukain novy track MIDI | 11.79 chuze STYCH od garaze velky | 11.80 Alex gr STYCH od klaviru patrik osuka alexe | 11.81 disko gula dolu | 11.89 koks KOUR GARAZ ...,repeated hard value candidate for preset cleanup
41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,COLORRGB1,97.02,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,COLORRGB2,97.02,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
41,RLB350M1 1,12 Robin LEDBeam 350 Mode 1,13.001,COLORRGB3,97.02,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,COLORRGB1,97.02,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,COLORRGB2,97.02,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
42,RLB350M1 2,12 Robin LEDBeam 350 Mode 1,13.023,COLORRGB3,97.02,12,1,11.40 Flash | 11.42 Flash | 11.44 Flash | 11.46 Flash | 11.48 Flash | 11.50 Flash | 11.52 Flash | 11.54 Flash ...,repeated hard value candidate for preset cleanup
